time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.023,-0.23,0.78,0.54,-0.03,0.16,0.24,0.03,-0.02,-0.0,949.83
0.024,-0.23,0.78,0.54,0.21,0.04,-0.41,0.03,-0.02,-0.0,949.83
0.024,-0.23,0.78,0.54,0.21,0.04,-0.41,-0.06,-0.04,0.01,949.83
0.04,-0.23,0.78,0.54,0.21,0.04,-0.41,-0.06,-0.04,0.01,949.83
0.084,-0.24,0.77,0.57,0.21,0.04,-0.41,-0.06,-0.04,0.01,949.83
0.084,-0.24,0.77,0.57,0.11,0.0,-0.09,-0.06,-0.04,0.01,949.83
0.084,-0.24,0.77,0.57,0.11,0.0,-0.09,-0.15,-0.01,-0.01,949.83
0.148,-0.26,0.8,0.58,0.11,0.0,-0.09,-0.15,-0.01,-0.01,949.83
0.149,-0.26,0.8,0.58,-0.04,0.31,-0.11,-0.15,-0.01,-0.01,949.83
0.149,-0.26,0.8,0.58,-0.04,0.31,-0.11,-0.13,-0.06,-0.01,949.83
0.149,-0.26,0.8,0.58,-0.04,0.31,-0.11,-0.13,-0.06,-0.01,949.84
0.211,-0.23,0.79,0.58,-0.04,0.31,-0.11,-0.13,-0.06,-0.01,949.84
0.212,-0.23,0.79,0.58,0.14,0.23,-0.13,-0.13,-0.06,-0.01,949.84
0.212,-0.23,0.79,0.58,0.14,0.23,-0.13,-0.09,0.0,0.01,949.84
0.252,-0.23,0.79,0.58,0.14,0.23,-0.13,-0.09,0.0,0.01,949.83
0.274,-0.21,0.8,0.57,0.14,0.23,-0.13,-0.09,0.0,0.01,949.83
0.275,-0.21,0.8,0.57,0.3,0.33,-0.24,-0.09,0.0,0.01,949.83
0.275,-0.21,0.8,0.57,0.3,0.33,-0.24,-0.16,-0.13,0.02,949.83
0.339,-0.19,0.8,0.56,0.3,0.33,-0.24,-0.16,-0.13,0.02,949.83
0.339,-0.19,0.8,0.56,0.45,0.34,-0.4,-0.16,-0.13,0.02,949.83
0.34,-0.19,0.8,0.56,0.45,0.34,-0.4,-0.06,-0.05,-0.01,949.83
0.357,-0.19,0.8,0.56,0.45,0.34,-0.4,-0.06,-0.05,-0.01,949.84
0.4,-0.14,0.81,0.55,0.45,0.34,-0.4,-0.06,-0.05,-0.01,949.84
0.401,-0.14,0.81,0.55,0.79,0.35,-0.44,-0.06,-0.05,-0.01,949.84
0.402,-0.14,0.81,0.55,0.79,0.35,-0.44,-0.2,-0.17,0.01,949.84
0.465,-0.14,0.81,0.49,0.79,0.35,-0.44,-0.2,-0.17,0.01,949.84
0.466,-0.14,0.81,0.49,0.65,0.33,-0.95,-0.2,-0.17,0.01,949.84
0.466,-0.14,0.81,0.49,0.65,0.33,-0.95,-0.15,-0.08,-0.01,949.84
0.467,-0.14,0.81,0.49,0.65,0.33,-0.95,-0.15,-0.08,-0.01,949.83
0.528,-0.09,0.8,0.49,0.65,0.33,-0.95,-0.15,-0.08,-0.01,949.83
0.53,-0.09,0.8,0.49,0.92,0.12,-0.98,-0.15,-0.08,-0.01,949.83
0.532,-0.09,0.8,0.49,0.92,0.12,-0.98,-0.35,-0.08,-0.11,949.83
0.57,-0.09,0.8,0.49,0.92,0.12,-0.98,-0.35,-0.08,-0.11,949.83
0.592,-0.11,0.74,0.51,0.92,0.12,-0.98,-0.35,-0.08,-0.11,949.83
0.594,-0.11,0.74,0.51,0.93,0.2,-1.08,-0.35,-0.08,-0.11,949.83
0.596,-0.11,0.74,0.51,0.93,0.2,-1.08,-0.31,0.01,-0.3,949.83
