time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.024,-0.38,0.40,0.79,0.36,-0.84,0.95,-0.26,0.32,0.98,928.51
0.025,-0.38,0.40,0.79,0.36,-0.84,0.95,-0.39,0.15,0.96,928.51
0.028,-0.38,0.40,0.79,-0.59,-0.95,0.52,-0.39,0.15,0.96,928.51
0.028,-0.28,0.41,0.84,-0.59,-0.95,0.52,-0.39,0.15,0.96,928.51
0.07,-0.28,0.41,0.84,-0.59,-0.95,0.52,-0.39,0.15,0.96,928.51
0.075,-0.28,0.41,0.84,-0.59,-0.95,0.52,-0.38,0.56,0.78,928.51
0.09,-0.32,0.41,0.82,-0.59,-0.95,0.52,-0.38,0.56,0.78,928.51
0.09,-0.32,0.41,0.82,-0.33,-1.01,0.68,-0.38,0.56,0.78,928.51
0.136,-0.32,0.41,0.82,-0.33,-1.01,0.68,-0.38,0.56,0.78,928.51
0.138,-0.32,0.41,0.82,-0.33,-1.01,0.68,-0.32,0.36,0.61,928.51
0.153,-0.30,0.43,0.84,-0.33,-1.01,0.68,-0.32,0.36,0.61,928.51
0.153,-0.30,0.43,0.84,-0.64,-1.21,0.43,-0.32,0.36,0.61,928.51
0.202,-0.30,0.43,0.84,-0.64,-1.21,0.43,-0.26,0.42,0.51,928.51
0.203,-0.30,0.43,0.84,-0.64,-1.21,0.43,-0.26,0.42,0.51,928.51
0.216,-0.35,0.43,0.86,-0.64,-1.21,0.43,-0.26,0.42,0.51,928.51
0.217,-0.35,0.43,0.86,-0.23,-1.21,0.25,-0.26,0.42,0.51,928.51
0.265,-0.35,0.43,0.86,-0.23,-1.21,0.25,-0.22,0.39,0.33,928.51
0.269,-0.35,0.43,0.86,-0.23,-1.21,0.25,-0.22,0.39,0.33,928.52
0.279,-0.38,0.41,0.91,-0.23,-1.21,0.25,-0.22,0.39,0.33,928.52
0.28,-0.38,0.41,0.91,-0.13,-1.10,-0.38,-0.22,0.39,0.33,928.52
0.328,-0.38,0.41,0.91,-0.13,-1.10,-0.38,-0.32,0.55,0.20,928.52
0.336,-0.38,0.41,0.91,-0.13,-1.10,-0.38,-0.32,0.55,0.20,928.52
0.343,-0.43,0.33,1.01,-0.13,-1.10,-0.38,-0.32,0.55,0.20,928.52
0.343,-0.43,0.33,1.01,0.08,-0.46,-1.35,-0.32,0.55,0.20,928.52
0.392,-0.43,0.33,1.01,0.08,-0.46,-1.35,-0.58,0.53,0.09,928.52
0.403,-0.43,0.33,1.01,0.08,-0.46,-1.35,-0.58,0.53,0.09,928.52
0.406,-0.51,0.21,0.91,0.08,-0.46,-1.35,-0.58,0.53,0.09,928.52
0.407,-0.51,0.21,0.91,0.61,0.48,-0.49,-0.58,0.53,0.09,928.52
0.455,-0.51,0.21,0.91,0.61,0.48,-0.49,-0.34,0.42,0.27,928.52
0.47,-0.47,0.21,0.84,0.61,0.48,-0.49,-0.34,0.42,0.27,928.52
0.47,-0.47,0.21,0.84,0.04,0.37,0.13,-0.34,0.42,0.27,928.52
0.47,-0.47,0.21,0.84,0.04,0.37,0.13,-0.34,0.42,0.27,928.52
0.519,-0.47,0.21,0.84,0.04,0.37,0.13,-0.29,0.46,0.47,928.52
0.534,-0.47,0.21,0.84,-0.84,0.69,-0.21,-0.29,0.46,0.47,928.52
0.534,-0.40,0.18,0.87,-0.84,0.69,-0.21,-0.29,0.46,0.47,928.52
0.536,-0.40,0.18,0.87,-0.84,0.69,-0.21,-0.29,0.46,0.47,928.52
0.582,-0.40,0.18,0.87,-0.84,0.69,-0.21,-0.22,0.13,0.49,928.52
0.596,-0.47,0.22,0.88,-0.84,0.69,-0.21,-0.22,0.13,0.49,928.52
0.596,-0.47,0.22,0.88,-0.04,0.31,-0.28,-0.22,0.13,0.49,928.52
0.603,-0.47,0.22,0.88,-0.04,0.31,-0.28,-0.22,0.13,0.49,928.55
0.645,-0.47,0.22,0.88,-0.04,0.31,-0.28,-0.02,-0.21,0.39,928.55
0.659,-0.33,0.30,0.83,-0.04,0.31,-0.28,-0.02,-0.21,0.39,928.55
0.659,-0.33,0.30,0.83,-1.25,-0.40,0.28,-0.02,-0.21,0.39,928.55
0.67,-0.33,0.30,0.83,-1.25,-0.40,0.28,-0.02,-0.21,0.39,928.55
0.708,-0.33,0.30,0.83,-1.25,-0.40,0.28,0.27,0.04,0.05,928.55
0.723,-0.39,0.35,0.76,-1.25,-0.40,0.28,0.27,0.04,0.05,928.55
0.723,-0.39,0.35,0.76,-0.67,-0.68,0.90,0.27,0.04,0.05,928.55
0.736,-0.39,0.35,0.76,-0.67,-0.68,0.90,0.27,0.04,0.05,928.44
0.772,-0.39,0.35,0.76,-0.67,-0.68,0.90,0.49,0.19,-0.33,928.44
0.786,-0.43,0.44,0.72,-0.67,-0.68,0.90,0.49,0.19,-0.33,928.44
0.786,-0.43,0.44,0.72,-0.51,-1.40,1.12,0.49,0.19,-0.33,928.44
0.803,-0.43,0.44,0.72,-0.51,-1.40,1.12,0.49,0.19,-0.33,928.44
0.835,-0.43,0.44,0.72,-0.51,-1.40,1.12,0.68,-0.04,-0.56,928.44
0.849,-0.51,0.49,0.78,-0.51,-1.40,1.12,0.68,-0.04,-0.56,928.44
0.849,-0.51,0.49,0.78,0.26,-1.73,0.46,0.68,-0.04,-0.56,928.44
0.87,-0.51,0.49,0.78,0.26,-1.73,0.46,0.68,-0.04,-0.56,928.32
0.898,-0.51,0.49,0.78,0.26,-1.73,0.46,0.88,-0.57,-0.77,928.32
0.913,-0.51,0.36,0.89,0.26,-1.73,0.46,0.88,-0.57,-0.77,928.32
0.913,-0.51,0.36,0.89,0.41,-0.18,-0.64,0.88,-0.57,-0.77,928.32
0.936,-0.51,0.36,0.89,0.41,-0.18,-0.64,0.88,-0.57,-0.77,928.32
0.961,-0.51,0.36,0.89,0.41,-0.18,-0.64,1.05,-0.20,-0.89,928.32
0.976,-0.29,0.29,1.03,0.41,-0.18,-0.64,1.05,-0.20,-0.89,928.32
0.976,-0.29,0.29,1.03,-2.02,0.73,-2.31,1.05,-0.20,-0.89,928.32
1.003,-0.29,0.29,1.03,-2.02,0.73,-2.31,1.05,-0.20,-0.89,928.32
1.025,-0.29,0.29,1.03,-2.02,0.73,-2.31,0.89,0.53,-1.62,928.32
1.039,-0.68,0.31,0.92,-2.02,0.73,-2.31,0.89,0.53,-1.62,928.32
1.039,-0.68,0.31,0.92,1.36,0.33,-1.49,0.89,0.53,-1.62,928.32
1.07,-0.68,0.31,0.92,1.36,0.33,-1.49,0.89,0.53,-1.62,928.35
1.088,-0.68,0.31,0.92,1.36,0.33,-1.49,-0.03,-1.26,-1.23,928.35
1.102,-0.44,0.24,0.98,1.36,0.33,-1.49,-0.03,-1.26,-1.23,928.35
1.103,-0.44,0.24,0.98,-0.63,0.65,-1.64,-0.03,-1.26,-1.23,928.35
1.136,-0.44,0.24,0.98,-0.63,0.65,-1.64,-0.03,-1.26,-1.23,928.35
1.151,-0.44,0.24,0.98,-0.63,0.65,-1.64,0.06,-0.79,-0.55,928.35
1.166,-0.39,0.19,0.93,-0.63,0.65,-1.64,0.06,-0.79,-0.55,928.35
1.167,-0.39,0.19,0.93,-0.77,1.02,-0.89,0.06,-0.79,-0.55,928.35
1.203,-0.39,0.19,0.93,-0.77,1.02,-0.89,0.06,-0.79,-0.55,928.56
1.214,-0.39,0.19,0.93,-0.77,1.02,-0.89,0.50,-0.88,-0.38,928.56
1.229,-0.17,0.25,0.88,-0.77,1.02,-0.89,0.50,-0.88,-0.38,928.56
1.23,-0.17,0.25,0.88,-2.61,0.70,-0.33,0.50,-0.88,-0.38,928.56
1.27,-0.17,0.25,0.88,-2.61,0.70,-0.33,0.50,-0.88,-0.38,928.56
1.278,-0.17,0.25,0.88,-2.61,0.70,-0.33,0.81,0.06,-0.29,928.56
