time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.025,-0.85,0.33,0.49,0.49,0.10,0.07,0.01,-0.12,0.05,928.40
0.025,-0.73,0.35,0.49,0.49,0.10,0.07,0.01,-0.12,0.05,928.40
0.029,-0.73,0.35,0.49,-0.69,-0.07,0.08,0.01,-0.12,0.05,928.40
0.035,-0.73,0.35,0.49,-0.69,-0.07,0.08,0.01,-0.12,0.05,928.40
0.072,-0.73,0.35,0.49,-0.69,-0.07,0.08,-0.01,0.13,-0.02,928.40
0.087,-0.83,0.32,0.48,-0.69,-0.07,0.08,-0.01,0.13,-0.02,928.40
0.087,-0.83,0.32,0.48,0.27,0.23,0.19,-0.01,0.13,-0.02,928.40
0.102,-0.83,0.32,0.48,0.27,0.23,0.19,-0.01,0.13,-0.02,928.40
0.136,-0.83,0.32,0.48,0.27,0.23,0.19,-0.02,-0.05,0.02,928.40
0.151,-0.81,0.32,0.50,0.27,0.23,0.19,-0.02,-0.05,0.02,928.40
0.151,-0.81,0.32,0.50,0.06,0.20,-0.02,-0.02,-0.05,0.02,928.40
0.169,-0.81,0.32,0.50,0.06,0.20,-0.02,-0.02,-0.05,0.02,928.36
0.199,-0.81,0.32,0.50,0.06,0.20,-0.02,-0.02,-0.11,0.04,928.36
0.214,-0.79,0.34,0.51,0.06,0.20,-0.02,-0.02,-0.11,0.04,928.36
0.214,-0.79,0.34,0.51,-0.01,0.09,0.01,-0.02,-0.11,0.04,928.36
0.237,-0.79,0.34,0.51,-0.01,0.09,0.01,-0.02,-0.11,0.04,928.36
0.263,-0.79,0.34,0.51,-0.01,0.09,0.01,-0.02,-0.01,-0.00,928.36
0.277,-0.78,0.35,0.51,-0.01,0.09,0.01,-0.02,-0.01,-0.00,928.36
0.278,-0.78,0.35,0.51,-0.15,-0.05,-0.01,-0.02,-0.01,-0.00,928.36
0.302,-0.78,0.35,0.51,-0.15,-0.05,-0.01,-0.02,-0.01,-0.00,928.30
0.326,-0.78,0.35,0.51,-0.15,-0.05,-0.01,-0.02,0.00,-0.07,928.30
0.341,-0.77,0.35,0.50,-0.15,-0.05,-0.01,-0.02,0.00,-0.07,928.30
0.341,-0.77,0.35,0.50,-0.24,-0.08,0.08,-0.02,0.00,-0.07,928.30
0.371,-0.77,0.35,0.50,-0.24,-0.08,0.08,-0.02,0.00,-0.07,928.30
0.389,-0.77,0.35,0.50,-0.24,-0.08,0.08,-0.06,0.04,-0.02,928.30
0.404,-0.81,0.34,0.49,-0.24,-0.08,0.08,-0.06,0.04,-0.02,928.30
0.404,-0.81,0.34,0.49,0.14,-0.00,0.15,-0.06,0.04,-0.02,928.30
0.435,-0.81,0.34,0.49,0.14,-0.00,0.15,-0.06,0.04,-0.02,928.30
0.452,-0.81,0.34,0.49,0.14,-0.00,0.15,-0.07,0.04,-0.01,928.30
0.467,-0.79,0.33,0.51,0.14,-0.00,0.15,-0.07,0.04,-0.01,928.30
0.467,-0.79,0.33,0.51,-0.10,0.04,-0.00,-0.07,0.04,-0.01,928.30
0.502,-0.79,0.33,0.51,-0.10,0.04,-0.00,-0.07,0.04,-0.01,928.30
0.515,-0.79,0.33,0.51,-0.10,0.04,-0.00,-0.07,0.07,-0.03,928.30
0.53,-0.81,0.32,0.49,-0.10,0.04,-0.00,-0.07,0.07,-0.03,928.30
0.531,-0.81,0.32,0.49,0.07,0.07,0.14,-0.07,0.07,-0.03,928.30
0.569,-0.81,0.32,0.49,0.07,0.07,0.14,-0.07,0.07,-0.03,928.30
0.579,-0.81,0.32,0.49,0.07,0.07,0.14,-0.07,-0.16,-0.07,928.30
0.594,-0.77,0.33,0.49,0.07,0.07,0.14,-0.07,-0.16,-0.07,928.30
0.594,-0.77,0.33,0.49,-0.33,-0.10,0.24,-0.07,-0.16,-0.07,928.30
0.635,-0.77,0.33,0.49,-0.33,-0.10,0.24,-0.07,-0.16,-0.07,928.25
0.642,-0.77,0.33,0.49,-0.33,-0.10,0.24,-0.06,0.04,-0.27,928.25
0.659,-0.77,0.33,0.49,-0.00,0.21,-0.04,-0.06,0.04,-0.27,928.25
0.659,-0.81,0.29,0.52,-0.00,0.21,-0.04,-0.06,0.04,-0.27,928.25
0.703,-0.81,0.29,0.52,-0.00,0.21,-0.04,-0.06,0.04,-0.27,928.25
0.706,-0.81,0.29,0.52,-0.00,0.21,-0.04,-0.07,-0.06,-0.18,928.25
0.72,-0.80,0.29,0.52,-0.00,0.21,-0.04,-0.07,-0.06,-0.18,928.25
0.721,-0.80,0.29,0.52,-0.05,0.04,-0.05,-0.07,-0.06,-0.18,928.25
0.77,-0.80,0.29,0.52,-0.05,0.04,-0.05,-0.07,-0.06,-0.18,928.14
0.77,-0.80,0.29,0.52,-0.05,0.04,-0.05,-0.05,-0.17,-0.15,928.14
0.783,-0.83,0.20,0.54,-0.05,0.04,-0.05,-0.05,-0.17,-0.15,928.14
0.784,-0.83,0.20,0.54,0.29,0.86,-0.11,-0.05,-0.17,-0.15,928.14
0.833,-0.83,0.20,0.54,0.29,0.86,-0.11,-0.05,-0.44,-0.08,928.14
0.836,-0.83,0.20,0.54,0.29,0.86,-0.11,-0.05,-0.44,-0.08,928.14
0.847,-0.81,0.35,0.55,0.29,0.86,-0.11,-0.05,-0.44,-0.08,928.14
0.847,-0.81,0.35,0.55,0.19,-0.65,0.01,-0.05,-0.44,-0.08,928.14
0.896,-0.81,0.35,0.55,0.19,-0.65,0.01,0.04,-0.38,-0.11,928.14
0.902,-0.81,0.35,0.55,0.19,-0.65,0.01,0.04,-0.38,-0.11,928.04
0.91,-0.76,0.30,0.60,0.19,-0.65,0.01,0.04,-0.38,-0.11,928.04
0.911,-0.76,0.30,0.60,-0.22,-0.26,-0.25,0.04,-0.38,-0.11,928.04
0.96,-0.76,0.30,0.60,-0.22,-0.26,-0.25,0.16,-0.65,-0.21,928.04
