time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.017,-0.73,0.15,0.68,0.14,-0.24,0.18,-0.01,-0.01,-0.01,966.71
0.045,-0.72,0.16,0.69,0.14,-0.24,0.18,-0.01,-0.01,-0.01,966.71
0.045,-0.72,0.16,0.69,0.14,-0.24,0.18,0.01,-0.03,-0.01,966.71
0.045,-0.72,0.16,0.69,0.10,-0.30,0.12,0.01,-0.03,-0.01,966.71
0.077,-0.72,0.16,0.69,0.10,-0.30,0.12,0.01,-0.03,-0.01,966.71
0.108,-0.73,0.15,0.68,0.10,-0.30,0.12,0.01,-0.03,-0.01,966.71
0.108,-0.73,0.15,0.68,0.10,-0.30,0.12,-0.00,-0.04,0.01,966.71
0.108,-0.73,0.15,0.68,0.16,-0.24,0.21,-0.00,-0.04,0.01,966.71
0.147,-0.73,0.15,0.68,0.16,-0.24,0.21,-0.00,-0.04,0.01,966.71
0.171,-0.72,0.15,0.68,0.16,-0.24,0.21,-0.00,-0.04,0.01,966.71
0.171,-0.72,0.15,0.68,0.16,-0.24,0.21,-0.01,-0.02,0.02,966.71
0.172,-0.72,0.15,0.68,0.11,-0.20,0.24,-0.01,-0.02,0.02,966.71
0.211,-0.72,0.15,0.68,0.11,-0.20,0.24,-0.01,-0.02,0.02,966.71
0.235,-0.71,0.15,0.69,0.11,-0.20,0.24,-0.01,-0.02,0.02,966.71
0.235,-0.71,0.15,0.69,0.11,-0.20,0.24,-0.02,-0.02,0.01,966.71
0.235,-0.71,0.15,0.69,-0.02,-0.21,0.18,-0.02,-0.02,0.01,966.71
0.281,-0.71,0.15,0.69,-0.02,-0.21,0.18,-0.02,-0.02,0.01,966.71
0.298,-0.71,0.15,0.68,-0.02,-0.21,0.18,-0.02,-0.02,0.01,966.71
0.299,-0.71,0.15,0.68,-0.02,-0.21,0.18,-0.03,-0.04,-0.01,966.71
0.299,-0.71,0.15,0.68,0.03,-0.25,0.24,-0.03,-0.04,-0.01,966.71
0.344,-0.71,0.15,0.68,0.03,-0.25,0.24,-0.03,-0.04,-0.01,966.70
0.362,-0.71,0.16,0.69,0.03,-0.25,0.24,-0.03,-0.04,-0.01,966.70
0.362,-0.71,0.16,0.69,0.03,-0.25,0.24,-0.04,-0.04,-0.02,966.70
0.362,-0.71,0.16,0.69,-0.01,-0.30,0.18,-0.04,-0.04,-0.02,966.70
0.411,-0.71,0.16,0.69,-0.01,-0.30,0.18,-0.04,-0.04,-0.02,966.70
0.426,-0.72,0.16,0.68,-0.01,-0.30,0.18,-0.04,-0.04,-0.02,966.70
0.426,-0.72,0.16,0.68,-0.01,-0.30,0.18,-0.05,-0.06,-0.01,966.70
0.426,-0.72,0.16,0.68,0.18,-0.31,0.29,-0.05,-0.06,-0.01,966.70
0.477,-0.72,0.16,0.68,0.18,-0.31,0.29,-0.05,-0.06,-0.01,966.67
0.493,-0.72,0.16,0.68,-0.04,-1.25,1.11,-0.05,-0.06,-0.01,966.67
0.493,-0.69,0.25,0.60,-0.04,-1.25,1.11,-0.05,-0.06,-0.01,966.67
0.494,-0.69,0.25,0.60,-0.04,-1.25,1.11,-0.10,-0.18,-0.06,966.67
0.544,-0.69,0.25,0.60,-0.04,-1.25,1.11,-0.10,-0.18,-0.06,966.67
0.551,-0.72,0.04,0.62,-0.04,-1.25,1.11,-0.10,-0.18,-0.06,966.67
0.551,-0.72,0.04,0.62,-0.04,-1.25,1.11,-0.40,-0.52,-0.08,966.67
0.552,-0.72,0.04,0.62,0.40,0.58,1.15,-0.40,-0.52,-0.08,966.67
0.611,-0.72,0.04,0.62,0.40,0.58,1.15,-0.40,-0.52,-0.08,966.68
0.615,-0.67,0.08,0.76,0.40,0.58,1.15,-0.40,-0.52,-0.08,966.68
0.615,-0.67,0.08,0.76,0.40,0.58,1.15,-0.45,-0.43,0.00,966.68
0.615,-0.67,0.08,0.76,0.15,-0.07,0.06,-0.45,-0.43,0.00,966.68
0.677,-0.67,0.08,0.76,0.15,-0.07,0.06,-0.45,-0.43,0.00,966.68
0.678,-0.64,0.06,0.82,0.15,-0.07,0.06,-0.45,-0.43,0.00,966.68
0.678,-0.64,0.06,0.82,0.15,-0.07,0.06,-0.36,-0.31,0.01,966.68
0.678,-0.64,0.06,0.82,0.04,-0.02,-0.46,-0.36,-0.31,0.01,966.68
0.741,-0.64,0.06,0.81,0.04,-0.02,-0.46,-0.36,-0.31,0.01,966.68
0.742,-0.64,0.06,0.81,0.04,-0.02,-0.46,-0.21,-0.08,0.02,966.68
0.742,-0.64,0.06,0.81,0.02,-0.08,-0.32,-0.21,-0.08,0.02,966.68
0.744,-0.64,0.06,0.81,0.02,-0.08,-0.32,-0.21,-0.08,0.02,966.68
0.805,-0.64,0.04,0.78,0.02,-0.08,-0.32,-0.21,-0.08,0.02,966.68
0.805,-0.64,0.04,0.78,0.02,-0.08,-0.32,-0.15,-0.02,0.01,966.68
0.805,-0.64,0.04,0.78,0.10,-0.01,0.06,-0.15,-0.02,0.01,966.68
0.81,-0.64,0.04,0.78,0.10,-0.01,0.06,-0.15,-0.02,0.01,966.70
0.868,-0.64,0.03,0.76,0.10,-0.01,0.06,-0.15,-0.02,0.01,966.70
0.868,-0.64,0.03,0.76,0.10,-0.01,0.06,-0.18,-0.01,0.01,966.70
0.869,-0.64,0.03,0.76,0.11,-0.02,0.23,-0.18,-0.01,0.01,966.70
0.877,-0.64,0.03,0.76,0.11,-0.02,0.23,-0.18,-0.01,0.01,966.70
0.931,-0.60,0.05,0.81,0.11,-0.02,0.23,-0.18,-0.01,0.01,966.70
0.932,-0.60,0.05,0.81,0.11,-0.02,0.23,-0.28,0.12,-0.05,966.70
0.932,-0.60,0.05,0.81,-0.37,-0.30,-0.28,-0.28,0.12,-0.05,966.70
0.944,-0.60,0.05,0.81,-0.37,-0.30,-0.28,-0.28,0.12,-0.05,966.72
0.995,-0.70,-0.04,0.62,-0.37,-0.30,-0.28,-0.28,0.12,-0.05,966.72
0.995,-0.70,-0.04,0.62,-0.37,-0.30,-0.28,-0.43,0.42,-0.12,966.72
0.996,-0.70,-0.04,0.62,0.44,0.35,1.43,-0.43,0.42,-0.12,966.72
1.011,-0.70,-0.04,0.62,0.44,0.35,1.43,-0.43,0.42,-0.12,966.72
