time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.009,-0.20,0.36,0.98,0.54,-1.49,1.04,-0.02,0.05,0.05,0.00
0.01,-0.20,0.36,0.98,0.54,-1.49,1.04,-0.03,0.10,0.03,0.00
0.01,-0.20,0.36,0.98,1.19,-1.04,1.57,-0.03,0.10,0.03,0.00
0.011,-0.23,0.37,1.00,1.19,-1.04,1.57,-0.03,0.10,0.03,0.00
0.012,-0.23,0.37,1.00,1.19,-1.04,1.57,-0.05,0.05,-0.00,0.00
0.012,-0.23,0.37,1.00,0.88,-0.92,1.76,-0.05,0.05,-0.00,0.00
0.013,-0.23,0.36,1.03,0.88,-0.92,1.76,-0.05,0.05,-0.00,0.00
0.014,-0.23,0.36,1.03,0.88,-0.92,1.76,-0.08,0.03,-0.03,0.00
0.014,-0.23,0.36,1.03,0.89,-1.03,1.99,-0.08,0.03,-0.03,0.00
0.029,-0.25,0.37,1.01,0.89,-1.03,1.99,-0.08,0.03,-0.03,0.00
0.029,-0.25,0.37,1.01,0.89,-1.03,1.99,-0.10,-0.03,-0.04,0.00
0.03,-0.25,0.37,1.01,0.72,-0.97,1.85,-0.10,-0.03,-0.04,0.00
0.031,-0.26,0.37,0.96,0.72,-0.97,1.85,-0.10,-0.03,-0.04,0.00
0.032,-0.26,0.37,0.96,0.72,-0.97,1.85,-0.12,-0.13,-0.07,0.00
0.032,-0.26,0.37,0.96,0.65,-0.89,1.29,-0.12,-0.13,-0.07,0.00
0.039,-0.26,0.38,0.91,0.65,-0.89,1.29,-0.12,-0.13,-0.07,0.00
0.04,-0.26,0.38,0.91,0.65,-0.89,1.29,-0.14,-0.14,-0.10,0.00
0.041,-0.26,0.38,0.91,0.63,-0.84,0.80,-0.14,-0.14,-0.10,0.00
0.049,-0.26,0.40,0.88,0.63,-0.84,0.80,-0.14,-0.14,-0.10,0.00
0.05,-0.26,0.40,0.88,0.63,-0.84,0.80,-0.14,-0.06,-0.12,0.00
0.051,-0.26,0.40,0.88,0.60,-0.62,0.52,-0.14,-0.06,-0.12,0.00
0.069,-0.26,0.42,0.87,0.60,-0.62,0.52,-0.14,-0.06,-0.12,0.00
0.07,-0.26,0.42,0.87,0.60,-0.62,0.52,-0.12,0.04,-0.14,0.00
0.071,-0.26,0.42,0.87,0.66,-0.40,0.40,-0.12,0.04,-0.14,0.00
0.072,-0.27,0.43,0.85,0.66,-0.40,0.40,-0.12,0.04,-0.14,0.00
0.072,-0.27,0.43,0.85,0.66,-0.40,0.40,-0.07,0.10,-0.17,0.00
0.073,-0.27,0.43,0.85,0.58,-0.30,0.24,-0.07,0.10,-0.17,0.00
0.092,-0.27,0.45,0.85,0.58,-0.30,0.24,-0.07,0.10,-0.17,0.00
0.093,-0.27,0.45,0.85,0.58,-0.30,0.24,-0.01,0.11,-0.19,0.00
0.094,-0.27,0.45,0.85,0.57,-0.09,0.18,-0.01,0.11,-0.19,0.00
0.095,-0.28,0.47,0.82,0.57,-0.09,0.18,-0.01,0.11,-0.19,0.00
0.095,-0.28,0.47,0.82,0.57,-0.09,0.18,0.07,0.10,-0.20,0.00
0.096,-0.28,0.47,0.82,0.52,0.09,-0.09,0.07,0.10,-0.20,0.00
0.102,-0.26,0.48,0.79,0.52,0.09,-0.09,0.07,0.10,-0.20,0.00
0.103,-0.26,0.48,0.79,0.52,0.09,-0.09,0.14,0.08,-0.21,0.00
0.104,-0.26,0.48,0.79,0.67,0.19,-0.39,0.14,0.08,-0.21,0.00
0.11,-0.23,0.48,0.76,0.67,0.19,-0.39,0.14,0.08,-0.21,0.00
0.111,-0.23,0.48,0.76,0.67,0.19,-0.39,0.20,0.06,-0.21,0.00
0.111,-0.23,0.48,0.76,0.96,0.23,-0.62,0.20,0.06,-0.21,0.00
0.122,-0.23,0.48,0.75,0.96,0.23,-0.62,0.20,0.06,-0.21,0.00
0.123,-0.23,0.48,0.75,0.96,0.23,-0.62,0.24,0.05,-0.20,0.00
0.123,-0.23,0.48,0.75,1.04,0.22,-0.74,0.24,0.05,-0.20,0.00
0.13,-0.21,0.47,0.73,1.04,0.22,-0.74,0.24,0.05,-0.20,0.00
0.13,-0.21,0.47,0.73,1.04,0.22,-0.74,0.26,0.06,-0.18,0.00
0.131,-0.21,0.47,0.73,1.18,0.12,-0.89,0.26,0.06,-0.18,0.00
0.141,-0.22,0.47,0.72,1.18,0.12,-0.89,0.26,0.06,-0.18,0.00
0.142,-0.22,0.47,0.72,1.18,0.12,-0.89,0.27,0.10,-0.15,0.00
0.143,-0.22,0.47,0.72,1.17,0.04,-0.99,0.27,0.10,-0.15,0.00
0.151,-0.24,0.46,0.70,1.17,0.04,-0.99,0.27,0.10,-0.15,0.00
0.152,-0.24,0.46,0.70,1.17,0.04,-0.99,0.26,0.13,-0.12,0.00
0.153,-0.24,0.46,0.70,0.96,-0.02,-1.14,0.26,0.13,-0.12,0.00
0.172,-0.24,0.45,0.70,0.96,-0.02,-1.14,0.26,0.13,-0.12,0.00
0.173,-0.24,0.45,0.70,0.96,-0.02,-1.14,0.25,0.15,-0.08,0.00
0.174,-0.24,0.45,0.70,0.98,-0.18,-1.17,0.25,0.15,-0.08,0.00
0.175,-0.26,0.44,0.69,0.98,-0.18,-1.17,0.25,0.15,-0.08,0.00
0.175,-0.26,0.44,0.69,0.98,-0.18,-1.17,0.22,0.16,-0.06,0.00
0.176,-0.26,0.44,0.69,0.76,-0.27,-1.20,0.22,0.16,-0.06,0.00
0.194,-0.28,0.42,0.69,0.76,-0.27,-1.20,0.22,0.16,-0.06,0.00
0.195,-0.28,0.42,0.69,0.76,-0.27,-1.20,0.20,0.16,-0.04,0.00
0.196,-0.28,0.42,0.69,0.59,-0.46,-1.27,0.20,0.16,-0.04,0.00
0.197,-0.29,0.42,0.69,0.59,-0.46,-1.27,0.20,0.16,-0.04,0.00
0.198,-0.29,0.42,0.69,0.59,-0.46,-1.27,0.17,0.17,-0.02,0.00
0.199,-0.29,0.42,0.69,0.54,-0.50,-1.24,0.17,0.17,-0.02,0.00
0.2,-0.28,0.41,0.70,0.54,-0.50,-1.24,0.17,0.17,-0.02,0.00
0.201,-0.28,0.41,0.70,0.54,-0.50,-1.24,0.14,0.17,0.00,0.00
0.202,-0.28,0.41,0.70,0.58,-0.56,-1.09,0.14,0.17,0.00,0.00
0.223,-0.28,0.42,0.71,0.58,-0.56,-1.09,0.14,0.17,0.00,0.00
