time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.003;-0,56;0,69;0,52;0,09;0,25;-0,60;-0,04;0,08;0,33;0,00
0.004;-0,59;0,72;0,59;0,09;0,25;-0,60;-0,04;0,08;0,33;0,00
0.004;-0,62;0,72;0,63;0,09;0,25;-0,60;-0,04;0,08;0,33;0,00
0.005;-0,56;0,72;0,57;0,09;0,25;-0,60;-0,04;0,08;0,33;0,00
0.005;-0,56;0,72;0,57;-0,60;0,90;0,37;-0,04;0,08;0,33;0,00
0.049;-0,56;0,72;0,57;-0,60;0,90;0,37;0,09;0,44;0,56;0,00
0.05;-0,59;0,75;0,53;-0,60;0,90;0,37;0,09;0,44;0,56;0,00
0.05;-0,65;0,79;0,55;-0,60;0,90;0,37;0,09;0,44;0,56;0,00
0.05;-0,66;0,79;0,58;-0,60;0,90;0,37;0,09;0,44;0,56;0,00
0.051;-0,66;0,79;0,58;-0,88;1,19;0,03;0,09;0,44;0,56;0,00
0.107;-0,66;0,79;0,58;-0,88;1,19;0,03;0,18;0,65;0,87;0,00
0.108;-0,66;0,79;0,58;-1,24;0,85;0,75;0,18;0,65;0,87;0,00
0.109;-0,66;0,78;0,60;-1,24;0,85;0,75;0,18;0,65;0,87;0,00
0.109;-0,64;0,76;0,60;-1,24;0,85;0,75;0,18;0,65;0,87;0,00
0.109;-0,56;0,72;0,57;-1,24;0,85;0,75;0,18;0,65;0,87;0,00
0.167;-0,56;0,72;0,57;-1,24;0,85;0,75;-0,05;0,39;0,77;0,00
0.168;-0,49;0,69;0,56;-1,24;0,85;0,75;-0,05;0,39;0,77;0,00
0.169;-0,49;0,66;0,59;-1,24;0,85;0,75;-0,05;0,39;0,77;0,00
0.169;-0,54;0,63;0,60;-1,24;0,85;0,75;-0,05;0,39;0,77;0,00
0.17;-0,54;0,63;0,60;-0,09;-0,28;0,71;-0,05;0,39;0,77;0,00
0.225;-0,54;0,63;0,60;-0,09;-0,28;0,71;-0,28;0,05;0,13;0,00
0.225;-0,54;0,63;0,60;-0,56;-0,45;0,36;-0,28;0,05;0,13;0,00
0.226;-0,53;0,63;0,57;-0,56;-0,45;0,36;-0,28;0,05;0,13;0,00
0.226;-0,54;0,66;0,54;-0,56;-0,45;0,36;-0,28;0,05;0,13;0,00
0.227;-0,59;0,73;0,49;-0,56;-0,45;0,36;-0,28;0,05;0,13;0,00
0.283;-0,59;0,73;0,49;-0,56;-0,45;0,36;-0,27;0,05;-0,15;0,00
0.283;-0,59;0,73;0,49;-0,83;0,57;-0,34;-0,27;0,05;-0,15;0,00
0.291;-0,58;0,77;0,49;-0,83;0,57;-0,34;-0,27;0,05;-0,15;0,00
0.291;-0,59;0,75;0,49;-0,83;0,57;-0,34;-0,27;0,05;-0,15;0,00
0.292;-0,54;0,68;0,48;-0,83;0,57;-0,34;-0,27;0,05;-0,15;0,00
0.342;-0,54;0,68;0,48;-0,83;0,57;-0,34;-0,02;0,30;0,10;0,00
0.343;-0,48;0,62;0,44;-0,83;0,57;-0,34;-0,02;0,30;0,10;0,00
0.343;-0,43;0,59;0,39;-0,83;0,57;-0,34;-0,02;0,30;0,10;0,00
0.344;-0,39;0,58;0,38;-0,83;0,57;-0,34;-0,02;0,30;0,10;0,00
0.344;-0,39;0,58;0,38;0,45;-0,77;-0,96;-0,02;0,30;0,10;0,00
0.4;-0,39;0,58;0,38;0,45;-0,77;-0,96;0,08;0,27;0,07;0,00
0.401;-0,39;0,58;0,38;1,25;-1,06;-1,50;0,08;0,27;0,07;0,00
0.401;-0,39;0,58;0,37;1,25;-1,06;-1,50;0,08;0,27;0,07;0,00
0.401;-0,37;0,58;0,34;1,25;-1,06;-1,50;0,08;0,27;0,07;0,00
0.402;-0,38;0,59;0,32;1,25;-1,06;-1,50;0,08;0,27;0,07;0,00
0.461;-0,38;0,59;0,32;1,25;-1,06;-1,50;-0,03;0,10;-0,08;0,00
0.462;-0,38;0,59;0,32;1,09;-0,69;-1,66;-0,03;0,10;-0,08;0,00
0.463;-0,40;0,61;0,32;1,09;-0,69;-1,66;-0,03;0,10;-0,08;0,00
0.463;-0,40;0,62;0,34;1,09;-0,69;-1,66;-0,03;0,10;-0,08;0,00
0.464;-0,41;0,65;0,35;1,09;-0,69;-1,66;-0,03;0,10;-0,08;0,00
0.517;-0,41;0,65;0,35;1,09;-0,69;-1,66;-0,07;0,03;-0,20;0,00
0.517;-0,43;0,66;0,36;1,09;-0,69;-1,66;-0,07;0,03;-0,20;0,00
0.518;-0,47;0,66;0,37;1,09;-0,69;-1,66;-0,07;0,03;-0,20;0,00
0.518;-0,52;0,70;0,41;1,09;-0,69;-1,66;-0,07;0,03;-0,20;0,00
0.519;-0,52;0,70;0,41;0,62;-0,17;-1,27;-0,07;0,03;-0,20;0,00
0.585;-0,52;0,70;0,41;0,62;-0,17;-1,27;0,07;-0,14;-0,19;0,00
0.586;-0,52;0,74;0,45;0,62;-0,17;-1,27;0,07;-0,14;-0,19;0,00
0.587;-0,54;0,76;0,46;0,62;-0,17;-1,27;0,07;-0,14;-0,19;0,00
0.588;-0,57;0,77;0,48;0,62;-0,17;-1,27;0,07;-0,14;-0,19;0,00
0.589;-0,57;0,77;0,48;-0,14;0,67;-0,43;0,07;-0,14;-0,19;0,00
0.632;-0,57;0,77;0,48;-0,14;0,67;-0,43;0,25;-0,19;-0,11;0,00
0.633;-0,57;0,77;0,48;-1,08;1,12;0,23;0,25;-0,19;-0,11;0,00
0.634;-0,61;0,78;0,53;-1,08;1,12;0,23;0,25;-0,19;-0,11;0,00
0.635;-0,66;0,80;0,54;-1,08;1,12;0,23;0,25;-0,19;-0,11;0,00
0.635;-0,67;0,84;0,47;-1,08;1,12;0,23;0,25;-0,19;-0,11;0,00
0.691;-0,67;0,84;0,47;-1,08;1,12;0,23;0,10;-0,18;-0,07;0,00
0.692;-0,66;0,89;0,44;-1,08;1,12;0,23;0,10;-0,18;-0,07;0,00
0.692;-0,67;0,92;0,53;-1,08;1,12;0,23;0,10;-0,18;-0,07;0,00
0.692;-0,71;0,88;0,69;-1,08;1,12;0,23;0,10;-0,18;-0,07;0,00
0.693;-0,71;0,88;0,69;-1,49;2,06;0,14;0,10;-0,18;-0,07;0,00
0.75;-0,71;0,88;0,69;-1,49;2,06;0,14;-0,37;-0,24;-0,38;0,00
0.752;-0,71;0,88;0,69;-1,80;0,64;2,07;-0,37;-0,24;-0,38;0,00
0.753;-0,73;0,77;0,75;-1,80;0,64;2,07;-0,37;-0,24;-0,38;0,00
0.753;-0,72;0,67;0,73;-1,80;0,64;2,07;-0,37;-0,24;-0,38;0,00
0.754;-0,65;0,66;0,70;-1,80;0,64;2,07;-0,37;-0,24;-0,38;0,00
0.808;-0,65;0,66;0,70;-1,80;0,64;2,07;-0,12;0,25;-0,60;0,00
0.809;-0,65;0,66;0,70;0,20;-0,03;0,90;-0,12;0,25;-0,60;0,00
0.809;-0,56;0,66;0,65;0,20;-0,03;0,90;-0,12;0,25;-0,60;0,00
0.81;-0,50;0,62;0,59;0,20;-0,03;0,90;-0,12;0,25;-0,60;0,00
0.81;-0,45;0,62;0,48;0,20;-0,03;0,90;-0,12;0,25;-0,60;0,00
0.866;-0,45;0,62;0,48;0,20;-0,03;0,90;-0,05;0,47;-0,65;0,00
0.867;-0,45;0,62;0,48;2,01;-0,23;-0,09;-0,05;0,47;-0,65;0,00
0.867;-0,40;0,65;0,48;2,01;-0,23;-0,09;-0,05;0,47;-0,65;0,00
0.868;-0,36;0,58;0,53;2,01;-0,23;-0,09;-0,05;0,47;-0,65;0,00
0.868;-0,33;0,48;0,50;2,01;-0,23;-0,09;-0,05;0,47;-0,65;0,00
0.926;-0,33;0,48;0,50;2,01;-0,23;-0,09;-0,33;0,51;-0,99;0,00
0.927;-0,27;0,40;0,41;2,01;-0,23;-0,09;-0,33;0,51;-0,99;0,00
0.928;-0,25;0,37;0,29;2,01;-0,23;-0,09;-0,33;0,51;-0,99;0,00
0.929;-0,26;0,39;0,27;2,01;-0,23;-0,09;-0,33;0,51;-0,99;0,00
0.93;-0,26;0,39;0,27;3,53;-1,76;-1,39;-0,33;0,51;-0,99;0,00
0.983;-0,26;0,39;0,27;3,53;-1,76;-1,39;-0,67;1,49;-1,61;0,00
0.984;-0,26;0,39;0,27;4,55;-1,67;-2,36;-0,67;1,49;-1,61;0,00
0.985;-0,25;0,35;0,24;4,55;-1,67;-2,36;-0,67;1,49;-1,61;0,00
0.985;-0,23;0,31;0,20;4,55;-1,67;-2,36;-0,67;1,49;-1,61;0,00
0.986;-0,23;0,26;0,17;4,55;-1,67;-2,36;-0,67;1,49;-1,61;0,00
1.042;-0,23;0,26;0,17;4,55;-1,67;-2,36;-0,77;1,64;-2,36;0,00
1.043;-0,23;0,26;0,17;4,75;-2,07;-1,66;-0,77;1,64;-2,36;0,00
1.044;-0,33;0,20;0,23;4,75;-2,07;-1,66;-0,77;1,64;-2,36;0,00
1.044;-0,34;0,14;0,27;4,75;-2,07;-1,66;-0,77;1,64;-2,36;0,00
1.045;-0,27;0,07;0,20;4,75;-2,07;-1,66;-0,77;1,64;-2,36;0,00
1.101;-0,27;0,07;0,20;4,75;-2,07;-1,66;-0,70;1,39;-3,21;0,00
1.103;-0,14;0,01;0,10;4,75;-2,07;-1,66;-0,70;1,39;-3,21;0,00
1.103;-0,19;-0,11;0,03;4,75;-2,07;-1,66;-0,70;1,39;-3,21;0,00
1.104;-0,42;-0,26;0,19;4,75;-2,07;-1,66;-0,70;1,39;-3,21;0,00
1.105;-0,42;-0,26;0,19;6,43;-2,62;-2,52;-0,70;1,39;-3,21;0,00
1.158;-0,42;-0,26;0,19;6,43;-2,62;-2,52;-0,81;1,30;-3,95;0,00
1.159;-0,42;-0,26;0,19;2,88;-3,65;1,01;-0,81;1,30;-3,95;0,00
1.159;-0,64;-0,40;0,43;2,88;-3,65;1,01;-0,81;1,30;-3,95;0,00
1.159;-0,69;-0,42;0,42;2,88;-3,65;1,01;-0,81;1,30;-3,95;0,00
1.16;-0,60;-0,40;0,23;2,88;-3,65;1,01;-0,81;1,30;-3,95;0,00
1.218;-0,60;-0,40;0,23;2,88;-3,65;1,01;-0,92;0,47;-4,27;0,00
1.219;-0,64;-0,52;0,10;2,88;-3,65;1,01;-0,92;0,47;-4,27;0,00
1.22;-0,79;-0,78;0,20;2,88;-3,65;1,01;-0,92;0,47;-4,27;0,00
1.22;-0,99;-0,99;0,43;2,88;-3,65;1,01;-0,92;0,47;-4,27;0,00
1.221;-0,99;-0,99;0,43;1,48;-3,92;-0,45;-0,92;0,47;-4,27;0,00
1.276;-0,99;-0,99;0,43;1,48;-3,92;-0,45;-1,00;0,46;-4,09;0,00
1.277;-1,05;-1,06;0,40;1,48;-3,92;-0,45;-1,00;0,46;-4,09;0,00
1.278;-0,95;-1,01;0,16;1,48;-3,92;-0,45;-1,00;0,46;-4,09;0,00
1.279;-0,97;-1,13;-0,04;1,48;-3,92;-0,45;-1,00;0,46;-4,09;0,00
1.28;-0,97;-1,13;-0,04;-1,87;-5,44;0,63;-1,00;0,46;-4,09;0,00
1.334;-0,97;-1,13;-0,04;-1,87;-5,44;0,63;-1,50;0,75;-3,85;0,00
1.336;-0,97;-1,13;-0,04;-3,09;-6,59;0,39;-1,50;0,75;-3,85;0,00
1.336;-1,03;-1,32;0,03;-3,09;-6,59;0,39;-1,50;0,75;-3,85;0,00
1.337;-1,00;-1,38;0,25;-3,09;-6,59;0,39;-1,50;0,75;-3,85;0,00
1.338;-0,89;-1,59;0,48;-3,09;-6,59;0,39;-1,50;0,75;-3,85;0,00
1.393;-0,89;-1,59;0,48;-3,09;-6,59;0,39;-1,56;-0,99;-4,01;0,00
1.394;-0,82;-1,66;0,51;-3,09;-6,59;0,39;-1,56;-0,99;-4,01;0,00
1.395;-0,82;-1,63;0,37;-3,09;-6,59;0,39;-1,56;-0,99;-4,01;0,00
1.396;-0,84;-1,70;0,18;-3,09;-6,59;0,39;-1,56;-0,99;-4,01;0,00
1.397;-0,84;-1,70;0,18;-3,09;-7,92;3,30;-1,56;-0,99;-4,01;0,00
1.453;-0,84;-1,70;0,18;-3,09;-7,92;3,30;-1,32;-0,71;-3,72;0,00
1.455;-0,84;-1,70;0,18;-4,79;-6,88;1,66;-1,32;-0,71;-3,72;0,00
1.459;-0,76;-1,74;0,16;-4,79;-6,88;1,66;-1,32;-0,71;-3,72;0,00
1.459;-0,81;-1,59;0,21;-4,79;-6,88;1,66;-1,32;-0,71;-3,72;0,00
1.46;-0,88;-1,54;0,30;-4,79;-6,88;1,66;-1,32;-0,71;-3,72;0,00
1.508;-0,88;-1,54;0,30;-4,79;-6,88;1,66;-0,84;-0,48;-2,46;0,00
1.508;-0,88;-1,54;0,30;-7,50;-3,74;3,56;-0,84;-0,48;-2,46;0,00
1.509;-0,91;-1,46;0,36;-7,50;-3,74;3,56;-0,84;-0,48;-2,46;0,00
1.51;-0,96;-1,32;0,35;-7,50;-3,74;3,56;-0,84;-0,48;-2,46;0,00
1.51;-0,97;-1,12;0,32;-7,50;-3,74;3,56;-0,84;-0,48;-2,46;0,00
1.567;-0,97;-1,12;0,32;-6,26;1,52;2,18;-0,84;-0,48;-2,46;0,00
1.568;-0,97;-1,12;0,32;-6,26;1,52;2,18;0,02;-2,39;-0,78;0,00
1.568;-0,84;-0,92;0,27;-6,26;1,52;2,18;0,02;-2,39;-0,78;0,00
1.568;-0,68;-0,75;0,18;-6,26;1,52;2,18;0,02;-2,39;-0,78;0,00
1.569;-0,57;-0,62;0,09;-6,26;1,52;2,18;0,02;-2,39;-0,78;0,00
1.625;-0,57;-0,62;0,09;-6,26;1,52;2,18;0,34;-2,26;0,00;0,00
1.627;-0,57;-0,62;0,09;-2,99;4,92;-0,05;0,34;-2,26;0,00;0,00
1.628;-0,47;-0,51;0,04;-2,99;4,92;-0,05;0,34;-2,26;0,00;0,00
