time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
12.013,-0.25,-0.7,0.09,4.14,-0.37,4.05,-0.46,0.69,1.15
12.025,-0.25,-0.7,0.09,4.14,-0.37,4.05,-0.0,0.32,0.58
12.04,-0.25,-0.7,0.09,4.23,-0.6,3.58,-0.0,0.32,0.58
12.042,-0.17,-0.82,0.01,4.23,-0.6,3.58,-0.0,0.32,0.58
12.06,-0.17,-0.82,0.01,4.34,-1.39,3.41,-0.0,0.32,0.58
12.075,-0.17,-0.82,0.01,4.08,-1.67,2.77,-0.0,0.32,0.58
12.081,-0.17,-0.82,0.01,4.08,-1.67,2.77,0.34,-0.17,-0.28
12.093,-0.17,-0.82,0.01,4.17,-1.89,2.28,0.34,-0.17,-0.28
12.101,-0.15,-0.94,-0.11,4.17,-1.89,2.28,0.34,-0.17,-0.28
12.113,-0.15,-0.94,-0.11,4.04,-1.24,1.73,0.34,-0.17,-0.28
12.139,-0.15,-0.94,-0.11,3.99,-1.34,1.37,0.34,-0.17,-0.28
12.147,-0.15,-0.94,-0.11,3.99,-1.34,1.37,0.4,-1.02,-1.59
12.163,-0.15,-0.94,-0.11,3.49,-2.1,0.91,0.4,-1.02,-1.59
12.171,-0.15,-1.2,-0.2,3.49,-2.1,0.91,0.4,-1.02,-1.59
12.175,-0.15,-1.2,-0.2,3.1,-3.76,0.38,0.4,-1.02,-1.59
12.193,-0.15,-1.2,-0.2,2.0,-4.67,0.04,0.4,-1.02,-1.59
12.214,-0.15,-1.2,-0.2,0.49,-4.46,0.16,0.4,-1.02,-1.59
12.216,-0.15,-1.2,-0.2,0.49,-4.46,0.16,0.52,-1.14,-3.05
12.232,-0.46,-1.3,-0.12,0.49,-4.46,0.16,0.52,-1.14,-3.05
12.234,-0.46,-1.3,-0.12,-1.3,-3.44,0.59,0.52,-1.14,-3.05
12.255,-0.46,-1.3,-0.12,-2.93,-2.79,1.16,0.52,-1.14,-3.05
12.273,-0.46,-1.3,-0.12,-3.89,-2.27,0.87,0.52,-1.14,-3.05
12.276,-0.46,-1.3,-0.12,-3.89,-2.27,0.87,1.35,-0.77,-2.93
12.294,-0.46,-1.3,-0.12,-4.8,-2.88,-0.12,1.35,-0.77,-2.93
12.296,-0.68,-1.3,-0.17,-4.8,-2.88,-0.12,1.35,-0.77,-2.93
12.313,-0.68,-1.3,-0.17,-5.27,-3.29,-1.86,1.35,-0.77,-2.93
12.342,-0.68,-1.3,-0.17,-5.95,-2.64,-3.61,1.35,-0.77,-2.93
12.344,-0.68,-1.3,-0.17,-5.95,-2.64,-3.61,2.37,1.35,-1.37
12.37,-0.68,-1.3,-0.17,-6.32,-0.76,-4.35,2.37,1.35,-1.37
12.371,-0.77,-0.98,-0.49,-6.32,-0.76,-4.35,2.37,1.35,-1.37
12.377,-0.77,-0.98,-0.49,-6.69,1.15,-4.44,2.37,1.35,-1.37
12.395,-0.77,-0.98,-0.49,-5.96,2.32,-3.82,2.37,1.35,-1.37
12.406,-0.77,-0.98,-0.49,-5.96,2.32,-3.82,0.69,-0.83,0.14
12.413,-0.77,-0.98,-0.49,-5.05,2.79,-3.41,0.69,-0.83,0.14
12.426,-0.57,-0.69,-0.32,-5.05,2.79,-3.41,0.69,-0.83,0.14
12.442,-0.57,-0.69,-0.32,-3.67,3.19,-3.09,0.69,-0.83,0.14
12.454,-0.57,-0.69,-0.32,-2.71,3.8,-3.32,0.69,-0.83,0.14
12.474,-0.57,-0.69,-0.32,-1.44,4.04,-3.18,0.69,-0.83,0.14
12.476,-0.57,-0.69,-0.32,-1.44,4.04,-3.18,0.22,-1.54,0.66
12.492,-0.29,-0.55,-0.33,-1.44,4.04,-3.18,0.22,-1.54,0.66
12.495,-0.29,-0.55,-0.33,-0.67,4.3,-3.16,0.22,-1.54,0.66
12.513,-0.29,-0.55,-0.33,-0.06,4.25,-2.68,0.22,-1.54,0.66
12.539,-0.29,-0.55,-0.33,-0.04,4.01,-2.34,0.22,-1.54,0.66
12.54,-0.29,-0.55,-0.33,-0.04,4.01,-2.34,-0.05,-0.86,0.22
12.559,-0.29,-0.55,-0.33,-0.08,3.92,-1.87,-0.05,-0.86,0.22
