time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,-0.24,0.48,0.85,1.28,1.37,-0.31,-0.04,-0.10,-0.31,0.00
0.003,-0.24,0.48,0.85,1.28,1.37,-0.31,-0.04,-0.07,-0.33,0.00
0.004,-0.24,0.48,0.85,0.68,1.61,-0.47,-0.04,-0.07,-0.33,0.00
0.004,-0.29,0.49,0.84,0.68,1.61,-0.47,-0.04,-0.07,-0.33,0.00
0.005,-0.29,0.49,0.84,0.68,1.61,-0.47,-0.02,-0.05,-0.33,0.00
0.006,-0.29,0.49,0.84,0.12,1.77,-0.63,-0.02,-0.05,-0.33,0.00
0.019,-0.30,0.49,0.82,0.12,1.77,-0.63,-0.02,-0.05,-0.33,0.00
0.02,-0.30,0.49,0.82,0.12,1.77,-0.63,-0.01,-0.01,-0.31,0.00
0.021,-0.30,0.49,0.82,0.06,1.74,-0.82,-0.01,-0.01,-0.31,0.00
0.021,-0.26,0.49,0.81,0.06,1.74,-0.82,-0.01,-0.01,-0.31,0.00
0.022,-0.26,0.49,0.81,0.06,1.74,-0.82,-0.04,-0.02,-0.28,0.00
0.023,-0.26,0.49,0.81,0.44,1.75,-0.85,-0.04,-0.02,-0.28,0.00
0.032,-0.24,0.47,0.81,0.44,1.75,-0.85,-0.04,-0.02,-0.28,0.00
0.033,-0.24,0.47,0.81,0.44,1.75,-0.85,-0.07,-0.03,-0.25,0.00
0.034,-0.24,0.47,0.81,0.69,1.63,-0.89,-0.07,-0.03,-0.25,0.00
0.055,-0.23,0.46,0.82,0.69,1.63,-0.89,-0.07,-0.03,-0.25,0.00
0.055,-0.23,0.46,0.82,0.69,1.63,-0.89,-0.11,-0.04,-0.24,0.00
0.056,-0.23,0.46,0.82,0.76,1.52,-0.85,-0.11,-0.04,-0.24,0.00
0.057,-0.23,0.44,0.83,0.76,1.52,-0.85,-0.11,-0.04,-0.24,0.00
0.057,-0.23,0.44,0.83,0.76,1.52,-0.85,-0.15,-0.05,-0.24,0.00
0.058,-0.23,0.44,0.83,0.73,1.33,-0.72,-0.15,-0.05,-0.24,0.00
0.073,-0.23,0.42,0.84,0.73,1.33,-0.72,-0.15,-0.05,-0.24,0.00
0.074,-0.23,0.42,0.84,0.73,1.33,-0.72,-0.19,-0.04,-0.26,0.00
0.074,-0.23,0.42,0.84,0.81,1.17,-0.59,-0.19,-0.04,-0.26,0.00
0.075,-0.22,0.42,0.85,0.81,1.17,-0.59,-0.19,-0.04,-0.26,0.00
0.075,-0.22,0.42,0.85,0.81,1.17,-0.59,-0.22,-0.02,-0.28,0.00
0.076,-0.22,0.42,0.85,0.90,1.14,-0.49,-0.22,-0.02,-0.28,0.00
0.083,-0.21,0.41,0.88,0.90,1.14,-0.49,-0.22,-0.02,-0.28,0.00
0.084,-0.21,0.41,0.88,0.90,1.14,-0.49,-0.24,0.01,-0.31,0.00
0.084,-0.21,0.41,0.88,0.94,1.10,-0.25,-0.24,0.01,-0.31,0.00
0.095,-0.21,0.41,0.90,0.94,1.10,-0.25,-0.24,0.01,-0.31,0.00
0.096,-0.21,0.41,0.90,0.94,1.10,-0.25,-0.26,0.02,-0.34,0.00
0.096,-0.21,0.41,0.90,1.01,1.16,-0.09,-0.26,0.02,-0.34,0.00
0.102,-0.22,0.42,0.92,1.01,1.16,-0.09,-0.26,0.02,-0.34,0.00
0.103,-0.22,0.42,0.92,1.01,1.16,-0.09,-0.26,0.03,-0.37,0.00
0.103,-0.22,0.42,0.92,0.93,1.26,0.11,-0.26,0.03,-0.37,0.00
0.114,-0.23,0.43,0.91,0.93,1.26,0.11,-0.26,0.03,-0.37,0.00
0.115,-0.23,0.43,0.91,0.93,1.26,0.11,-0.25,0.02,-0.39,0.00
0.116,-0.23,0.43,0.91,0.86,1.43,0.04,-0.25,0.02,-0.39,0.00
0.123,-0.22,0.44,0.90,0.86,1.43,0.04,-0.25,0.02,-0.39,0.00
0.124,-0.22,0.44,0.90,0.86,1.43,0.04,-0.23,0.01,-0.41,0.00
0.125,-0.22,0.44,0.90,0.92,1.51,-0.06,-0.23,0.01,-0.41,0.00
0.139,-0.23,0.45,0.89,0.92,1.51,-0.06,-0.23,0.01,-0.41,0.00
0.141,-0.23,0.45,0.89,0.92,1.51,-0.06,-0.20,-0.00,-0.42,0.00
0.142,-0.23,0.45,0.89,0.86,1.65,-0.19,-0.20,-0.00,-0.42,0.00
0.144,-0.22,0.46,0.87,0.86,1.65,-0.19,-0.20,-0.00,-0.42,0.00
0.145,-0.22,0.46,0.87,0.86,1.65,-0.19,-0.17,0.00,-0.42,0.00
0.145,-0.22,0.46,0.87,0.99,1.79,-0.40,-0.17,0.00,-0.42,0.00
0.155,-0.19,0.47,0.87,0.99,1.79,-0.40,-0.17,0.00,-0.42,0.00
0.156,-0.19,0.47,0.87,0.99,1.79,-0.40,-0.14,0.03,-0.42,0.00
0.157,-0.19,0.47,0.87,1.21,1.88,-0.41,-0.14,0.03,-0.42,0.00
0.179,-0.18,0.47,0.85,1.21,1.88,-0.41,-0.14,0.03,-0.42,0.00
0.18,-0.18,0.47,0.85,1.21,1.88,-0.41,-0.12,0.06,-0.41,0.00
0.181,-0.18,0.47,0.85,1.36,1.97,-0.52,-0.12,0.06,-0.41,0.00
0.182,-0.18,0.47,0.85,1.36,1.97,-0.52,-0.12,0.06,-0.41,0.00
0.182,-0.18,0.47,0.85,1.36,1.97,-0.52,-0.10,0.08,-0.42,0.00
0.183,-0.18,0.47,0.85,1.42,1.96,-0.56,-0.10,0.08,-0.42,0.00
0.184,-0.19,0.47,0.84,1.42,1.96,-0.56,-0.10,0.08,-0.42,0.00
0.185,-0.19,0.47,0.84,1.42,1.96,-0.56,-0.08,0.09,-0.43,0.00
0.186,-0.19,0.47,0.84,1.33,1.92,-0.67,-0.08,0.09,-0.43,0.00
0.206,-0.19,0.46,0.84,1.33,1.92,-0.67,-0.08,0.09,-0.43,0.00
0.207,-0.19,0.46,0.84,1.33,1.92,-0.67,-0.07,0.08,-0.43,0.00
0.208,-0.19,0.46,0.84,1.29,1.89,-0.71,-0.07,0.08,-0.43,0.00
0.209,-0.19,0.46,0.82,1.29,1.89,-0.71,-0.07,0.08,-0.43,0.00
0.21,-0.19,0.46,0.82,1.29,1.89,-0.71,-0.06,0.07,-0.44,0.00
0.211,-0.19,0.46,0.82,1.35,1.88,-0.84,-0.06,0.07,-0.44,0.00
0.217,-0.19,0.46,0.82,1.35,1.88,-0.84,-0.06,0.07,-0.44,0.00
