time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.017;-0,39;0,22;0,82;-0,32;0,07;0,50;0,07;-0,46;0,02;0,00
0.059;-0,39;0,22;0,82;-0,10;0,20;0,20;0,07;-0,46;0,02;0,00
0.06;-0,41;0,21;0,83;-0,10;0,20;0,20;0,07;-0,46;0,02;0,00
0.06;-0,42;0,20;0,86;-0,10;0,20;0,20;0,07;-0,46;0,02;0,00
0.061;-0,42;0,20;0,86;-0,19;0,14;0,14;0,07;-0,46;0,02;0,00
0.069;-0,42;0,20;0,86;-0,19;0,14;0,14;0,09;-0,15;0,01;0,00
0.084;-0,41;0,20;0,90;-0,19;0,14;0,14;0,09;-0,15;0,01;0,00
0.129;-0,41;0,20;0,90;0,05;-0,12;-0,33;0,09;-0,15;0,01;0,00
0.13;-0,40;0,21;0,90;0,05;-0,12;-0,33;0,09;-0,15;0,01;0,00
0.13;-0,41;0,23;0,87;0,05;-0,12;-0,33;0,09;-0,15;0,01;0,00
0.13;-0,43;0,23;0,85;0,05;-0,12;-0,33;0,09;-0,15;0,01;0,00
0.131;-0,43;0,23;0,85;0,05;-0,11;-0,29;0,09;-0,15;0,01;0,00
0.148;-0,43;0,23;0,85;0,05;-0,11;-0,29;0,03;0,01;-0,01;0,00
0.15;-0,42;0,22;0,87;0,05;-0,11;-0,29;0,03;0,01;-0,01;0,00
0.189;-0,39;0,22;0,90;0,05;-0,11;-0,29;0,03;0,01;-0,01;0,00
0.189;-0,39;0,22;0,90;0,05;-0,11;-0,29;0,02;-0,10;0,02;0,00
0.199;-0,39;0,22;0,90;-0,03;-0,04;0,04;0,02;-0,10;0,02;0,00
0.199;-0,39;0,22;0,89;-0,03;-0,04;0,04;0,02;-0,10;0,02;0,00
0.2;-0,39;0,22;0,89;-0,06;-0,04;0,03;0,02;-0,10;0,02;0,00
0.217;-0,41;0,21;0,89;-0,06;-0,04;0,03;0,02;-0,10;0,02;0,00
0.269;-0,41;0,21;0,89;-0,06;-0,04;0,03;0,04;-0,06;0,01;0,00
