time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.035,-0.55,0.27,0.80,0.24,-0.11,0.16,-0.01,-0.15,0.06,933.55
0.044,-0.55,0.27,0.80,0.24,-0.11,0.16,-0.06,-0.14,0.13,933.55
0.049,-0.48,0.31,0.79,0.24,-0.11,0.16,-0.06,-0.14,0.13,933.55
0.049,-0.48,0.31,0.79,-0.33,-0.40,0.33,-0.06,-0.14,0.13,933.55
0.101,-0.48,0.31,0.79,-0.33,-0.40,0.33,-0.06,-0.14,0.13,933.55
0.107,-0.48,0.31,0.79,-0.33,-0.40,0.33,-0.16,0.19,-0.01,933.55
0.112,-0.47,0.25,0.79,-0.33,-0.40,0.33,-0.16,0.19,-0.01,933.55
0.113,-0.47,0.25,0.79,-0.52,0.07,0.28,-0.16,0.19,-0.01,933.55
0.168,-0.47,0.25,0.79,-0.52,0.07,0.28,-0.16,0.19,-0.01,933.52
0.17,-0.47,0.25,0.79,-0.52,0.07,0.28,-0.26,0.37,-0.12,933.52
0.175,-0.47,0.23,0.82,-0.52,0.07,0.28,-0.26,0.37,-0.12,933.52
0.175,-0.47,0.23,0.82,-0.79,0.11,-0.05,-0.26,0.37,-0.12,933.52
0.234,-0.47,0.23,0.82,-0.79,0.11,-0.05,-0.33,0.59,-0.20,933.52
0.235,-0.47,0.23,0.82,-0.79,0.11,-0.05,-0.33,0.59,-0.20,933.52
0.238,-0.53,0.19,0.79,-0.79,0.11,-0.05,-0.33,0.59,-0.20,933.52
0.239,-0.53,0.19,0.79,-0.49,0.29,0.03,-0.33,0.59,-0.20,933.52
0.297,-0.53,0.19,0.79,-0.49,0.29,0.03,-0.30,0.72,-0.44,933.52
0.301,-0.53,0.19,0.79,-0.49,0.29,0.03,-0.30,0.72,-0.44,933.52
0.302,-0.57,0.06,0.71,-0.49,0.29,0.03,-0.30,0.72,-0.44,933.52
0.302,-0.57,0.06,0.71,-0.52,1.17,0.58,-0.30,0.72,-0.44,933.52
0.361,-0.57,0.06,0.71,-0.52,1.17,0.58,-0.24,0.77,-0.90,933.52
0.366,-0.57,-0.01,0.59,-0.52,1.17,0.58,-0.24,0.77,-0.90,933.52
0.366,-0.57,-0.01,0.59,-0.91,1.38,1.45,-0.24,0.77,-0.90,933.52
0.368,-0.57,-0.01,0.59,-0.91,1.38,1.45,-0.24,0.77,-0.90,933.50
0.424,-0.57,-0.01,0.59,-0.91,1.38,1.45,-0.26,0.95,-1.57,933.50
0.428,-0.46,-0.08,0.56,-0.91,1.38,1.45,-0.26,0.95,-1.57,933.50
0.429,-0.46,-0.08,0.56,-2.54,1.27,1.37,-0.26,0.95,-1.57,933.50
0.434,-0.46,-0.08,0.56,-2.54,1.27,1.37,-0.26,0.95,-1.57,933.50
0.487,-0.46,-0.08,0.56,-2.54,1.27,1.37,-0.18,1.16,-2.52,933.50
0.492,-0.49,-0.20,0.54,-2.54,1.27,1.37,-0.18,1.16,-2.52,933.50
0.493,-0.49,-0.20,0.54,-2.71,1.26,1.04,-0.18,1.16,-2.52,933.50
0.501,-0.49,-0.20,0.54,-2.71,1.26,1.04,-0.18,1.16,-2.52,933.48
0.55,-0.49,-0.20,0.54,-2.71,1.26,1.04,-0.13,0.62,-2.90,933.48
0.555,-0.74,-0.24,0.66,-2.71,1.26,1.04,-0.13,0.62,-2.90,933.48
0.556,-0.74,-0.24,0.66,-0.30,0.21,-0.37,-0.13,0.62,-2.90,933.48
0.568,-0.74,-0.24,0.66,-0.30,0.21,-0.37,-0.13,0.62,-2.90,933.48
0.614,-0.74,-0.24,0.66,-0.30,0.21,-0.37,0.04,-0.64,-2.50,933.48
0.619,-0.90,-0.28,0.74,-0.30,0.21,-0.37,0.04,-0.64,-2.50,933.48
0.619,-0.90,-0.28,0.74,2.03,-0.58,-0.87,0.04,-0.64,-2.50,933.48
0.635,-0.90,-0.28,0.74,2.03,-0.58,-0.87,0.04,-0.64,-2.50,933.48
0.677,-0.90,-0.28,0.74,2.03,-0.58,-0.87,-0.03,-1.54,-1.73,933.48
0.682,-0.90,-0.28,0.74,2.01,-1.71,-0.83,-0.03,-1.54,-1.73,933.48
0.683,-0.80,-0.23,0.79,2.01,-1.71,-0.83,-0.03,-1.54,-1.73,933.48
0.701,-0.80,-0.23,0.79,2.01,-1.71,-0.83,-0.03,-1.54,-1.73,933.48
0.74,-0.80,-0.23,0.79,2.01,-1.71,-0.83,-0.20,-1.11,-0.97,933.48
0.745,-0.81,-0.32,0.91,2.01,-1.71,-0.83,-0.20,-1.11,-0.97,933.48
0.746,-0.81,-0.32,0.91,2.84,-1.29,-1.65,-0.20,-1.11,-0.97,933.48
0.768,-0.81,-0.32,0.91,2.84,-1.29,-1.65,-0.20,-1.11,-0.97,933.50
0.804,-0.81,-0.32,0.91,2.84,-1.29,-1.65,-0.21,-0.97,-0.35,933.50
0.808,-0.86,-0.42,0.95,2.84,-1.29,-1.65,-0.21,-0.97,-0.35,933.50
0.81,-0.86,-0.42,0.95,3.88,-0.49,-1.75,-0.21,-0.97,-0.35,933.50
0.835,-0.86,-0.42,0.95,3.88,-0.49,-1.75,-0.21,-0.97,-0.35,933.50
0.867,-0.86,-0.42,0.95,3.88,-0.49,-1.75,-0.04,-0.81,0.39,933.50
0.873,-0.70,-0.49,0.85,3.88,-0.49,-1.75,-0.04,-0.81,0.39,933.50
0.874,-0.70,-0.49,0.85,2.62,0.28,-0.65,-0.04,-0.81,0.39,933.50
0.902,-0.70,-0.49,0.85,2.62,0.28,-0.65,-0.04,-0.81,0.39,933.50
0.93,-0.70,-0.49,0.85,2.62,0.28,-0.65,0.01,-0.13,0.73,933.50
0.935,-0.58,-0.50,0.85,2.62,0.28,-0.65,0.01,-0.13,0.73,933.50
0.935,-0.58,-0.50,0.85,1.29,0.60,-0.62,0.01,-0.13,0.73,933.50
0.969,-0.58,-0.50,0.85,1.29,0.60,-0.62,0.01,-0.13,0.73,933.52
0.994,-0.58,-0.50,0.85,1.29,0.60,-0.62,0.18,-0.28,0.80,933.52
0.999,-0.44,-0.45,0.79,1.29,0.60,-0.62,0.18,-0.28,0.80,933.52
1.0,-0.44,-0.45,0.79,-0.19,0.46,0.15,0.18,-0.28,0.80,933.52
1.034,-0.44,-0.45,0.79,-0.19,0.46,0.15,0.18,-0.28,0.80,933.52
1.057,-0.44,-0.45,0.79,-0.19,0.46,0.15,0.32,-0.17,0.54,933.52
1.063,-0.44,-0.45,0.79,-0.50,0.06,-0.20,0.32,-0.17,0.54,933.52
1.063,-0.41,-0.38,0.84,-0.50,0.06,-0.20,0.32,-0.17,0.54,933.52
1.102,-0.41,-0.38,0.84,-0.50,0.06,-0.20,0.32,-0.17,0.54,933.55
1.12,-0.41,-0.38,0.84,-0.50,0.06,-0.20,0.38,-0.24,0.25,933.55
1.125,-0.48,-0.42,0.89,-0.50,0.06,-0.20,0.38,-0.24,0.25,933.55
1.125,-0.48,-0.42,0.89,0.23,0.65,-0.58,0.38,-0.24,0.25,933.55
1.168,-0.48,-0.42,0.89,0.23,0.65,-0.58,0.38,-0.24,0.25,933.55
1.184,-0.48,-0.42,0.89,0.23,0.65,-0.58,0.48,-0.07,0.19,933.55
1.188,-0.51,-0.46,0.90,0.23,0.65,-0.58,0.48,-0.07,0.19,933.55
1.189,-0.51,-0.46,0.90,0.56,1.39,-0.54,0.48,-0.07,0.19,933.55
1.234,-0.51,-0.46,0.90,0.56,1.39,-0.54,0.48,-0.07,0.19,933.56
1.247,-0.51,-0.46,0.90,0.56,1.39,-0.54,0.56,-0.06,0.22,933.56
1.252,-0.45,-0.37,0.91,0.56,1.39,-0.54,0.56,-0.06,0.22,933.56
1.252,-0.45,-0.37,0.91,-0.07,0.86,-0.53,0.56,-0.06,0.22,933.56
1.302,-0.45,-0.37,0.91,-0.07,0.86,-0.53,0.56,-0.06,0.22,933.56
1.311,-0.45,-0.37,0.91,-0.07,0.86,-0.53,0.59,0.10,0.03,933.56
