time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.018,-0.51,0.31,0.79,0.11,0.39,0.14,0.07,0.01,-0.25,949.80
0.019,-0.51,0.31,0.79,0.11,0.39,0.14,0.07,0.01,-0.25,949.80
0.046,-0.53,0.32,0.78,0.11,0.39,0.14,0.07,0.01,-0.25,949.80
0.047,-0.53,0.32,0.78,0.25,0.18,0.22,0.07,0.01,-0.25,949.80
0.056,-0.53,0.32,0.78,0.25,0.18,0.22,0.06,0.05,-0.28,949.80
0.061,-0.53,0.32,0.78,0.25,0.18,0.22,0.06,0.05,-0.28,949.67
0.11,-0.54,0.32,0.78,0.25,0.18,0.22,0.06,0.05,-0.28,949.67
0.11,-0.54,0.32,0.78,0.19,0.09,0.12,0.06,0.05,-0.28,949.67
0.119,-0.54,0.32,0.78,0.19,0.09,0.12,0.03,0.03,-0.26,949.67
0.127,-0.54,0.32,0.78,0.19,0.09,0.12,0.03,0.03,-0.26,949.67
0.173,-0.54,0.32,0.79,0.19,0.09,0.12,0.03,0.03,-0.26,949.67
0.173,-0.54,0.32,0.79,0.17,0.12,0.04,0.03,0.03,-0.26,949.67
0.182,-0.54,0.32,0.79,0.17,0.12,0.04,0.05,-0.05,-0.23,949.67
0.194,-0.54,0.32,0.79,0.17,0.12,0.04,0.05,-0.05,-0.23,949.67
0.236,-0.55,0.32,0.78,0.17,0.12,0.04,0.05,-0.05,-0.23,949.67
0.236,-0.55,0.32,0.78,0.34,-0.02,0.18,0.05,-0.05,-0.23,949.67
0.246,-0.55,0.32,0.78,0.34,-0.02,0.18,0.01,-0.10,-0.18,949.67
0.261,-0.55,0.32,0.78,0.34,-0.02,0.18,0.01,-0.10,-0.18,949.54
0.299,-0.56,0.31,0.78,0.34,-0.02,0.18,0.01,-0.10,-0.18,949.54
0.3,-0.56,0.31,0.78,0.43,0.13,0.25,0.01,-0.10,-0.18,949.54
0.309,-0.56,0.31,0.78,0.43,0.13,0.25,-0.01,-0.07,-0.10,949.54
0.327,-0.56,0.31,0.78,0.43,0.13,0.25,-0.01,-0.07,-0.10,949.54
0.363,-0.54,0.30,0.82,0.43,0.13,0.25,-0.01,-0.07,-0.10,949.54
0.363,-0.54,0.30,0.82,0.25,0.16,-0.14,-0.01,-0.07,-0.10,949.54
0.372,-0.54,0.30,0.82,0.25,0.16,-0.14,0.04,-0.01,-0.10,949.54
0.394,-0.54,0.30,0.82,0.25,0.16,-0.14,0.04,-0.01,-0.10,949.49
0.426,-0.53,0.28,0.78,0.25,0.16,-0.14,0.04,-0.01,-0.10,949.49
0.427,-0.53,0.28,0.78,0.02,0.33,0.18,0.04,-0.01,-0.10,949.49
0.435,-0.53,0.28,0.78,0.02,0.33,0.18,0.05,0.16,-0.23,949.49
0.461,-0.53,0.28,0.78,0.02,0.33,0.18,0.05,0.16,-0.23,949.49
0.489,-0.49,0.25,0.75,0.02,0.33,0.18,0.05,0.16,-0.23,949.49
0.49,-0.49,0.25,0.75,-0.60,0.49,0.34,0.05,0.16,-0.23,949.49
0.499,-0.49,0.25,0.75,-0.60,0.49,0.34,0.03,0.50,-0.44,949.49
