time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.03,-0.43,0.29,0.89,0.46,0.27,-0.03,-0.03,-0.06,0.01,954.84
0.031,-0.43,0.29,0.89,0.24,0.22,-0.21,-0.03,-0.06,0.01,954.84
0.031,-0.43,0.29,0.89,0.24,0.22,-0.21,0.02,-0.08,-0.02,954.84
0.031,-0.43,0.29,0.89,0.24,0.22,-0.21,0.02,-0.08,-0.02,954.84
0.059,-0.44,0.30,0.85,0.24,0.22,-0.21,0.02,-0.08,-0.02,954.84
0.059,-0.44,0.30,0.85,0.38,0.11,0.16,0.02,-0.08,-0.02,954.84
0.068,-0.44,0.30,0.85,0.38,0.11,0.16,0.01,-0.05,0.02,954.84
0.095,-0.44,0.30,0.85,0.38,0.11,0.16,0.01,-0.05,0.02,954.76
0.122,-0.43,0.29,0.85,0.38,0.11,0.16,0.01,-0.05,0.02,954.76
0.123,-0.43,0.29,0.85,0.28,0.18,0.14,0.01,-0.05,0.02,954.76
0.132,-0.43,0.29,0.85,0.28,0.18,0.14,0.01,0.02,0.04,954.76
0.162,-0.43,0.29,0.85,0.28,0.18,0.14,0.01,0.02,0.04,954.76
0.185,-0.42,0.30,0.84,0.28,0.18,0.14,0.01,0.02,0.04,954.76
0.186,-0.42,0.30,0.84,0.14,0.12,0.28,0.01,0.02,0.04,954.76
0.195,-0.42,0.30,0.84,0.14,0.12,0.28,0.02,0.06,0.04,954.76
0.229,-0.42,0.30,0.84,0.14,0.12,0.28,0.02,0.06,0.04,954.68
0.249,-0.42,0.30,0.84,0.14,0.12,0.28,0.02,0.06,0.04,954.68
0.249,-0.42,0.30,0.84,0.17,0.08,0.22,0.02,0.06,0.04,954.68
0.258,-0.42,0.30,0.84,0.17,0.08,0.22,-0.01,0.08,0.02,954.68
0.296,-0.42,0.30,0.84,0.17,0.08,0.22,-0.01,0.08,0.02,954.68
0.312,-0.44,0.30,0.86,0.17,0.08,0.22,-0.01,0.08,0.02,954.68
0.312,-0.44,0.30,0.86,0.26,0.11,0.08,-0.01,0.08,0.02,954.68
0.322,-0.44,0.30,0.86,0.26,0.11,0.08,-0.02,0.07,0.03,954.68
0.362,-0.44,0.30,0.86,0.26,0.11,0.08,-0.02,0.07,0.03,954.68
