time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.006;-0,40;0,44;0,92;-0,27;0,52;-0,68;-0,07;0,11;-0,14;0,00
0.02;-0,40;0,44;0,92;-0,51;0,48;-0,19;-0,07;0,11;-0,14;0,00
0.02;-0,40;0,44;0,92;-0,68;0,44;-0,24;-0,07;0,11;-0,14;0,00
0.049;-0,40;0,44;0,92;-0,68;0,44;-0,24;0,14;-0,54;-0,20;0,00
0.06;-0,28;0,45;0,70;-0,68;0,44;-0,24;0,14;-0,54;-0,20;0,00
0.089;-0,28;0,45;0,70;-0,61;0,31;-0,73;0,14;-0,54;-0,20;0,00
0.129;-0,28;0,45;0,70;-0,61;0,31;-0,73;0,19;0,13;-0,32;0,00
0.13;-0,36;0,50;0,85;-0,61;0,31;-0,73;0,19;0,13;-0,32;0,00
0.159;-0,36;0,50;0,85;-0,47;0,42;-0,56;0,19;0,13;-0,32;0,00
0.16;-0,36;0,50;0,85;-0,46;0,37;-0,52;0,19;0,13;-0,32;0,00
0.168;-0,36;0,50;0,85;-0,46;0,37;-0,52;0,22;-0,43;-0,23;0,00
0.199;-0,30;0,51;0,79;-0,46;0,37;-0,52;0,22;-0,43;-0,23;0,00
0.229;-0,30;0,51;0,79;-0,27;0,70;-0,27;0,22;-0,43;-0,23;0,00
0.229;-0,30;0,51;0,79;-0,28;0,55;-0,22;0,22;-0,43;-0,23;0,00
0.249;-0,30;0,51;0,79;-0,28;0,55;-0,22;0,33;-0,28;-0,26;0,00
0.268;-0,27;0,49;0,89;-0,28;0,55;-0,22;0,33;-0,28;-0,26;0,00
0.299;-0,27;0,49;0,89;-0,11;0,37;-0,07;0,33;-0,28;-0,26;0,00
0.3;-0,27;0,49;0,89;-0,18;0,31;-0,08;0,33;-0,28;-0,26;0,00
0.328;-0,27;0,49;0,89;-0,18;0,31;-0,08;0,11;-0,41;-0,20;0,00
0.338;-0,24;0,37;0,92;-0,18;0,31;-0,08;0,11;-0,41;-0,20;0,00
0.369;-0,24;0,37;0,92;-0,18;0,31;-0,08;0,00;-0,50;-0,12;0,00
0.37;-0,24;0,37;0,92;-0,02;-0,24;1,07;0,00;-0,50;-0,12;0,00
0.409;-0,14;0,36;0,88;-0,02;-0,24;1,07;0,00;-0,50;-0,12;0,00
0.439;-0,14;0,36;0,88;0,65;-1,05;-0,05;0,00;-0,50;-0,12;0,00
0.441;-0,14;0,36;0,88;0,62;-1,03;-0,04;0,00;-0,50;-0,12;0,00
0.449;-0,14;0,36;0,88;0,62;-1,03;-0,04;0,08;0,01;-0,23;0,00
0.479;-0,17;0,31;0,93;0,62;-1,03;-0,04;0,08;0,01;-0,23;0,00
0.509;-0,17;0,31;0,93;0,80;-1,31;0,76;0,08;0,01;-0,23;0,00
0.51;-0,17;0,31;0,93;0,85;-1,19;0,72;0,08;0,01;-0,23;0,00
0.54;-0,17;0,31;0,93;0,85;-1,19;0,72;-0,16;0,07;-0,35;0,00
