time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.01;-0,21;0,71;0,64;0,92;0,99;-0,83;0,27;-0,09;-0,33;964,14
0.011;-0,21;0,71;0,64;0,92;0,99;-0,83;0,22;-0,22;-0,35;964,14
0.015;-0,17;0,78;0,66;0,92;0,99;-0,83;0,22;-0,22;-0,35;964,14
0.016;-0,11;0,73;0,60;0,92;0,99;-0,83;0,22;-0,22;-0,35;964,14
0.016;-0,09;0,75;0,55;0,92;0,99;-0,83;0,22;-0,22;-0,35;964,14
0.027;-0,09;0,75;0,55;0,92;0,99;-0,83;0,22;-0,22;-0,35;964,12
0.069;-0,09;0,75;0,55;2,23;1,36;-1,72;0,22;-0,22;-0,35;964,12
0.069;-0,09;0,75;0,55;2,23;1,36;-1,72;0,15;-0,11;-0,67;964,12
0.077;-0,09;0,81;0,54;2,23;1,36;-1,72;0,15;-0,11;-0,67;964,12
0.077;-0,08;0,77;0,55;2,23;1,36;-1,72;0,15;-0,11;-0,67;964,12
0.077;-0,06;0,78;0,56;2,23;1,36;-1,72;0,15;-0,11;-0,67;964,12
0.129;-0,06;0,78;0,56;2,91;1,78;-1,49;0,15;-0,11;-0,67;964,12
0.129;-0,06;0,78;0,56;2,91;1,78;-1,49;-0,03;0,73;-1,04;964,12
0.13;-0,06;0,78;0,56;2,91;1,78;-1,49;-0,03;0,73;-1,04;964,16
0.137;-0,13;0,75;0,51;2,91;1,78;-1,49;-0,03;0,73;-1,04;964,16
0.137;-0,10;0,75;0,48;2,91;1,78;-1,49;-0,03;0,73;-1,04;964,16
0.138;-0,25;0,64;0,51;2,91;1,78;-1,49;-0,03;0,73;-1,04;964,16
0.189;-0,25;0,64;0,51;2,08;0,74;-1,68;-0,03;0,73;-1,04;964,16
0.189;-0,25;0,64;0,51;2,08;0,74;-1,68;-0,28;2,64;-1,77;964,16
0.195;-0,28;0,55;0,49;2,08;0,74;-1,68;-0,28;2,64;-1,77;964,16
0.196;-0,30;0,49;0,41;2,08;0,74;-1,68;-0,28;2,64;-1,77;964,16
0.196;-0,32;0,44;0,29;2,08;0,74;-1,68;-0,28;2,64;-1,77;964,16
0.228;-0,32;0,44;0,29;2,08;0,74;-1,68;-0,28;2,64;-1,77;964,16
0.249;-0,32;0,44;0,29;3,51;-0,22;-2,75;-0,28;2,64;-1,77;964,16
0.249;-0,32;0,44;0,29;3,51;-0,22;-2,75;-0,71;4,58;-3,29;964,16
0.255;-0,30;0,41;0,23;3,51;-0,22;-2,75;-0,71;4,58;-3,29;964,16
0.255;-0,54;0,21;0,29;3,51;-0,22;-2,75;-0,71;4,58;-3,29;964,16
0.255;-0,67;0,01;0,34;3,51;-0,22;-2,75;-0,71;4,58;-3,29;964,16
0.311;-0,67;0,01;0,34;2,21;-2,38;-0,29;-0,71;4,58;-3,29;964,16
0.311;-0,67;0,01;0,34;2,21;-2,38;-0,29;-0,63;5,00;-4,84;964,16
0.315;-0,75;-0,09;0,25;2,21;-2,38;-0,29;-0,63;5,00;-4,84;964,16
0.315;-0,69;-0,23;0,13;2,21;-2,38;-0,29;-0,63;5,00;-4,84;964,16
0.315;-0,66;-0,51;0,07;2,21;-2,38;-0,29;-0,63;5,00;-4,84;964,16
0.327;-0,66;-0,51;0,07;2,21;-2,38;-0,29;-0,63;5,00;-4,84;964,17
0.367;-0,66;-0,51;0,07;3,30;-4,41;-0,23;-0,63;5,00;-4,84;964,17
0.367;-0,66;-0,51;0,07;3,30;-4,41;-0,23;-0,07;3,79;-5,81;964,17
0.375;-0,78;-0,71;-0,02;3,30;-4,41;-0,23;-0,07;3,79;-5,81;964,17
0.375;-0,89;-0,87;-0,13;3,30;-4,41;-0,23;-0,07;3,79;-5,81;964,17
0.375;-0,90;-0,98;-0,17;3,30;-4,41;-0,23;-0,07;3,79;-5,81;964,17
0.428;-0,90;-0,98;-0,17;0,16;-5,65;-0,84;-0,07;3,79;-5,81;964,17
0.428;-0,90;-0,98;-0,17;0,16;-5,65;-0,84;-0,20;2,55;-5,90;964,17
0.429;-0,90;-0,98;-0,17;0,16;-5,65;-0,84;-0,20;2,55;-5,90;964,16
0.435;-0,84;-1,05;-0,13;0,16;-5,65;-0,84;-0,20;2,55;-5,90;964,16
0.435;-0,76;-1,16;-0,10;0,16;-5,65;-0,84;-0,20;2,55;-5,90;964,16
0.435;-0,66;-1,21;-0,13;0,16;-5,65;-0,84;-0,20;2,55;-5,90;964,16
0.487;-0,66;-1,21;-0,13;0,37;-5,12;0,77;-0,20;2,55;-5,90;964,16
0.488;-0,66;-1,21;-0,13;0,37;-5,12;0,77;-0,31;1,46;-5,81;964,16
0.496;-0,62;-1,25;-0,22;0,37;-5,12;0,77;-0,31;1,46;-5,81;964,16
0.497;-0,64;-1,27;-0,33;0,37;-5,12;0,77;-0,31;1,46;-5,81;964,16
0.497;-0,69;-1,33;-0,37;0,37;-5,12;0,77;-0,31;1,46;-5,81;964,16
0.527;-0,69;-1,33;-0,37;0,37;-5,12;0,77;-0,31;1,46;-5,81;964,16
0.549;-0,69;-1,33;-0,37;-2,60;-4,49;-1,13;-0,31;1,46;-5,81;964,16
0.552;-0,69;-1,33;-0,37;-2,60;-4,49;-1,13;-0,81;-0,61;-5,44;964,16
0.555;-0,69;-1,29;-0,33;-2,60;-4,49;-1,13;-0,81;-0,61;-5,44;964,16
0.555;-0,67;-1,29;-0,30;-2,60;-4,49;-1,13;-0,81;-0,61;-5,44;964,16
0.555;-0,68;-1,34;-0,27;-2,60;-4,49;-1,13;-0,81;-0,61;-5,44;964,16
0.61;-0,68;-1,34;-0,27;-5,16;-3,85;0,18;-0,81;-0,61;-5,44;964,16
0.61;-0,68;-1,34;-0,27;-5,16;-3,85;0,18;-0,80;-0,62;-4,30;964,16
0.616;-0,69;-1,40;-0,25;-5,16;-3,85;0,18;-0,80;-0,62;-4,30;964,16
0.617;-0,71;-1,39;-0,26;-5,16;-3,85;0,18;-0,80;-0,62;-4,30;964,16
0.617;-0,73;-1,37;-0,27;-5,16;-3,85;0,18;-0,80;-0,62;-4,30;964,16
0.627;-0,73;-1,37;-0,27;-5,16;-3,85;0,18;-0,80;-0,62;-4,30;964,22
0.668;-0,73;-1,37;-0,27;-7,54;-4,17;0,48;-0,80;-0,62;-4,30;964,22
0.669;-0,73;-1,37;-0,27;-7,54;-4,17;0,48;-0,44;-1,08;-3,00;964,22
0.676;-0,75;-1,38;-0,31;-7,54;-4,17;0,48;-0,44;-1,08;-3,00;964,22
0.677;-0,82;-1,34;-0,44;-7,54;-4,17;0,48;-0,44;-1,08;-3,00;964,22
0.677;-0,83;-1,28;-0,48;-7,54;-4,17;0,48;-0,44;-1,08;-3,00;964,22
0.73;-0,83;-1,28;-0,48;-9,79;-3,53;-1,27;-0,44;-1,08;-3,00;964,22
0.731;-0,83;-1,28;-0,48;-9,79;-3,53;-1,27;-0,19;-0,72;-1,85;964,22
0.731;-0,83;-1,28;-0,48;-9,79;-3,53;-1,27;-0,19;-0,72;-1,85;964,25
0.737;-0,83;-1,19;-0,45;-9,79;-3,53;-1,27;-0,19;-0,72;-1,85;964,25
0.737;-0,82;-1,08;-0,41;-9,79;-3,53;-1,27;-0,19;-0,72;-1,85;964,25
0.738;-0,81;-0,97;-0,36;-9,79;-3,53;-1,27;-0,19;-0,72;-1,85;964,25
0.79;-0,81;-0,97;-0,36;-10,24;-0,66;-0,10;-0,19;-0,72;-1,85;964,25
0.791;-0,81;-0,97;-0,36;-10,24;-0,66;-0,10;0,25;0,42;-0,81;964,25
0.794;-0,82;-0,93;-0,34;-10,24;-0,66;-0,10;0,25;0,42;-0,81;964,25
