time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.006;-0,04;0,72;0,66;0,06;0,15;-0,48;-0,10;0,12;-0,24;964,23
0.006;-0,04;0,72;0,66;0,06;0,15;-0,48;-0,04;0,12;-0,34;964,23
0.014;-0,03;0,74;0,68;0,06;0,15;-0,48;-0,04;0,12;-0,34;964,23
0.014;0,03;0,73;0,65;0,06;0,15;-0,48;-0,04;0,12;-0,34;964,23
0.015;0,06;0,77;0,63;0,06;0,15;-0,48;-0,04;0,12;-0,34;964,23
0.027;0,06;0,77;0,63;0,06;0,15;-0,48;-0,04;0,12;-0,34;964,24
0.066;0,06;0,77;0,63;1,29;0,69;-0,83;-0,04;0,12;-0,34;964,24
0.067;0,06;0,77;0,63;1,29;0,69;-0,83;-0,09;0,15;-0,44;964,24
0.074;0,06;0,78;0,63;1,29;0,69;-0,83;-0,09;0,15;-0,44;964,24
0.074;0,07;0,78;0,62;1,29;0,69;-0,83;-0,09;0,15;-0,44;964,24
0.074;0,07;0,76;0,64;1,29;0,69;-0,83;-0,09;0,15;-0,44;964,24
0.128;0,07;0,76;0,64;1,29;0,69;-0,83;-0,09;0,15;-0,44;964,24
0.128;0,07;0,76;0,64;1,64;0,64;-0,73;-0,09;0,15;-0,44;964,24
0.128;0,07;0,76;0,64;1,64;0,64;-0,73;-0,03;-0,09;-0,73;964,24
0.133;0,10;0,74;0,65;1,64;0,64;-0,73;-0,03;-0,09;-0,73;964,24
0.134;0,08;0,73;0,66;1,64;0,64;-0,73;-0,03;-0,09;-0,73;964,24
0.134;0,09;0,71;0,67;1,64;0,64;-0,73;-0,03;-0,09;-0,73;964,24
0.187;0,09;0,71;0,67;2,18;0,17;-0,45;-0,03;-0,09;-0,73;964,24
0.187;0,09;0,71;0,67;2,18;0,17;-0,45;0,06;0,26;-0,92;964,24
0.194;0,10;0,70;0,68;2,18;0,17;-0,45;0,06;0,26;-0,92;964,24
0.195;0,01;0,65;0,67;2,18;0,17;-0,45;0,06;0,26;-0,92;964,24
0.195;-0,02;0,67;0,62;2,18;0,17;-0,45;0,06;0,26;-0,92;964,24
0.226;-0,02;0,67;0,62;2,18;0,17;-0,45;0,06;0,26;-0,92;964,22
0.247;-0,02;0,67;0,62;1,54;-0,10;-0,92;0,06;0,26;-0,92;964,22
0.248;-0,02;0,67;0,62;1,54;-0,10;-0,92;-0,04;0,43;-1,05;964,22
0.255;-0,01;0,68;0,59;1,54;-0,10;-0,92;-0,04;0,43;-1,05;964,22
0.255;0,01;0,67;0,58;1,54;-0,10;-0,92;-0,04;0,43;-1,05;964,22
0.256;-0,02;0,64;0,56;1,54;-0,10;-0,92;-0,04;0,43;-1,05;964,22
0.307;-0,02;0,64;0,56;2,29;-0,26;-1,38;-0,04;0,43;-1,05;964,22
0.307;-0,02;0,64;0,56;2,29;-0,26;-1,38;0,28;1,24;-1,81;964,22
0.315;-0,01;0,61;0,53;2,29;-0,26;-1,38;0,28;1,24;-1,81;964,22
0.315;-0,00;0,56;0,47;2,29;-0,26;-1,38;0,28;1,24;-1,81;964,22
0.316;-0,05;0,46;0,48;2,29;-0,26;-1,38;0,28;1,24;-1,81;964,22
0.327;-0,05;0,46;0,48;2,29;-0,26;-1,38;0,28;1,24;-1,81;964,20
0.367;-0,05;0,46;0,48;3,68;-1,83;-1,59;0,28;1,24;-1,81;964,20
0.367;-0,05;0,46;0,48;3,68;-1,83;-1,59;0,80;3,02;-2,91;964,20
0.373;-0,11;0,36;0,46;3,68;-1,83;-1,59;0,80;3,02;-2,91;964,20
0.374;-0,23;0,29;0,43;3,68;-1,83;-1,59;0,80;3,02;-2,91;964,20
0.374;-0,36;0,23;0,38;3,68;-1,83;-1,59;0,80;3,02;-2,91;964,20
0.426;-0,36;0,23;0,38;3,68;-1,83;-1,59;0,80;3,02;-2,91;964,17
0.427;-0,36;0,23;0,38;2,98;-3,24;-1,06;0,80;3,02;-2,91;964,17
0.427;-0,36;0,23;0,38;2,98;-3,24;-1,06;1,08;3,58;-4,08;964,17
0.434;-0,55;0,18;0,37;2,98;-3,24;-1,06;1,08;3,58;-4,08;964,17
0.434;-0,61;0,13;0,36;2,98;-3,24;-1,06;1,08;3,58;-4,08;964,17
0.435;-0,72;0,04;0,41;2,98;-3,24;-1,06;1,08;3,58;-4,08;964,17
0.488;-0,72;0,04;0,41;1,54;-3,25;0,93;1,08;3,58;-4,08;964,17
0.488;-0,72;0,04;0,41;1,54;-3,25;0,93;1,39;2,33;-5,53;964,17
0.495;-0,79;-0,06;0,47;1,54;-3,25;0,93;1,39;2,33;-5,53;964,17
0.495;-0,92;-0,17;0,41;1,54;-3,25;0,93;1,39;2,33;-5,53;964,17
0.495;-1,17;-0,28;0,27;1,54;-3,25;0,93;1,39;2,33;-5,53;964,17
0.526;-1,17;-0,28;0,27;1,54;-3,25;0,93;1,39;2,33;-5,53;964,18
0.548;-1,17;-0,28;0,27;-1,84;-3,35;1,03;1,39;2,33;-5,53;964,18
0.549;-1,17;-0,28;0,27;-1,84;-3,35;1,03;0,58;2,66;-6,48;964,18
0.553;-1,32;-0,38;0,18;-1,84;-3,35;1,03;0,58;2,66;-6,48;964,18
0.554;-1,25;-0,51;0,32;-1,84;-3,35;1,03;0,58;2,66;-6,48;964,18
0.554;-1,06;-0,77;0,39;-1,84;-3,35;1,03;0,58;2,66;-6,48;964,18
0.609;-1,06;-0,77;0,39;-1,15;-4,14;3,66;0,58;2,66;-6,48;964,18
0.61;-1,06;-0,77;0,39;-1,15;-4,14;3,66;0,57;1,75;-7,16;964,18
0.614;-1,25;-0,96;0,09;-1,15;-4,14;3,66;0,57;1,75;-7,16;964,18
0.614;-1,30;-1,18;-0,27;-1,15;-4,14;3,66;0,57;1,75;-7,16;964,18
0.615;-1,25;-1,40;-0,43;-1,15;-4,14;3,66;0,57;1,75;-7,16;964,18
0.627;-1,25;-1,40;-0,43;-1,15;-4,14;3,66;0,57;1,75;-7,16;964,17
0.668;-1,25;-1,40;-0,43;-5,18;-6,96;-3,63;0,57;1,75;-7,16;964,17
0.669;-1,25;-1,40;-0,43;-5,18;-6,96;-3,63;-0,09;1,33;-5,74;964,17
0.676;-1,18;-1,33;-0,43;-5,18;-6,96;-3,63;-0,09;1,33;-5,74;964,17
0.676;-1,22;-1,28;-0,29;-5,18;-6,96;-3,63;-0,09;1,33;-5,74;964,17
0.676;-1,45;-1,30;-0,25;-5,18;-6,96;-3,63;-0,09;1,33;-5,74;964,17
0.728;-1,45;-1,30;-0,25;-5,18;-6,96;-3,63;-0,09;1,33;-5,74;964,18
0.729;-1,45;-1,30;-0,25;-9,37;-4,20;-1,83;-0,09;1,33;-5,74;964,18
0.729;-1,45;-1,30;-0,25;-9,37;-4,20;-1,83;-0,66;-0,90;-4,07;964,18
0.736;-1,34;-1,18;-0,32;-9,37;-4,20;-1,83;-0,66;-0,90;-4,07;964,18
0.736;-1,08;-1,10;-0,31;-9,37;-4,20;-1,83;-0,66;-0,90;-4,07;964,18
0.736;-1,04;-1,06;-0,19;-9,37;-4,20;-1,83;-0,66;-0,90;-4,07;964,18
0.79;-1,04;-1,06;-0,19;-7,06;-1,11;-0,89;-0,66;-0,90;-4,07;964,18
0.791;-1,04;-1,06;-0,19;-7,06;-1,11;-0,89;-0,94;-0,71;-2,14;964,18
0.794;-1,17;-0,98;-0,15;-7,06;-1,11;-0,89;-0,94;-0,71;-2,14;964,18
0.795;-1,26;-0,87;-0,23;-7,06;-1,11;-0,89;-0,94;-0,71;-2,14;964,18
0.795;-1,19;-0,69;-0,33;-7,06;-1,11;-0,89;-0,94;-0,71;-2,14;964,18
0.829;-1,19;-0,69;-0,33;-7,06;-1,11;-0,89;-0,94;-0,71;-2,14;964,21
0.847;-1,19;-0,69;-0,33;-9,31;2,66;-1,80;-0,94;-0,71;-2,14;964,21
0.848;-1,19;-0,69;-0,33;-9,31;2,66;-1,80;-0,99;-0,28;-0,65;964,21
0.854;-1,04;-0,57;-0,30;-9,31;2,66;-1,80;-0,99;-0,28;-0,65;964,21
0.855;-0,93;-0,48;-0,23;-9,31;2,66;-1,80;-0,99;-0,28;-0,65;964,21
0.855;-0,88;-0,39;-0,20;-9,31;2,66;-1,80;-0,99;-0,28;-0,65;964,21
0.909;-0,88;-0,39;-0,20;-6,29;5,50;-0,05;-0,99;-0,28;-0,65;964,21
0.91;-0,88;-0,39;-0,20;-6,29;5,50;-0,05;-0,85;0,22;0,73;964,21
0.914;-0,93;-0,31;-0,28;-6,29;5,50;-0,05;-0,85;0,22;0,73;964,21
0.914;-0,88;-0,17;-0,34;-6,29;5,50;-0,05;-0,85;0,22;0,73;964,21
0.914;-0,86;-0,03;-0,41;-6,29;5,50;-0,05;-0,85;0,22;0,73;964,21
0.927;-0,86;-0,03;-0,41;-6,29;5,50;-0,05;-0,85;0,22;0,73;964,19
0.968;-0,86;-0,03;-0,41;-5,41;8,69;-1,49;-0,85;0,22;0,73;964,19
