time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.01;0,4;-0,53;-0,28;9,9;-12,24;0,59;3,84;-3,89;-1,71;970,83
0.03;0,4;-0,53;-0,28;9,9;-12,24;0,59;2,76;-1,56;0,06;970,83
0.03;0,4;-0,53;-0,28;2,96;-9,15;2,53;2,76;-1,56;0,06;970,83
0.03;-0,31;-0,31;-0,23;2,96;-9,15;2,53;2,76;-1,56;0,06;970,83
0.09;-0,31;-0,31;-0,23;2,96;-9,15;2,53;2,51;-0,19;-1,16;970,83
0.09;-0,31;-0,31;-0,23;2,96;-9,15;2,53;2,51;-0,19;-1,16;970,82
0.09;-0,31;-0,31;-0,23;4,33;-5,8;-0,66;2,51;-0,19;-1,16;970,82
0.112;-0,2;-0,07;-0,63;4,33;-5,8;-0,66;2,51;-0,19;-1,16;970,82
0.15;-0,2;-0,07;-0,63;4,33;-5,8;-0,66;2,85;-0,25;0,02;970,82
0.15;-0,2;-0,07;-0,63;4,33;-5,8;-0,66;2,85;-0,25;0,02;970,83
0.151;-0,2;-0,07;-0,63;5,08;0,01;-1,5;2,85;-0,25;0,02;970,83
0.211;-0,14;0,42;-0,77;5,08;0,01;-1,5;2,85;-0,25;0,02;970,83
0.211;-0,14;0,42;-0,77;5,08;0,01;-1,5;2,96;-0,12;0,17;970,83
0.212;-0,53;-1,63;-1,28;5,08;0,01;-1,5;2,96;-0,12;0,17;970,83
0.212;-0,53;-1,63;-1,28;5,08;0,01;-1,5;3,38;3,23;-2,4;970,83
0.272;-0,53;-1,63;-1,28;0,67;-18,79;-5,15;3,38;3,23;-2,4;970,83
0.272;-0,53;-1,63;-1,28;0,67;-18,79;-5,15;3,38;3,23;-2,4;970,81
0.272;-0,53;-1,63;-1,28;-10,58;-26,68;-8,8;3,38;3,23;-2,4;970,81
0.31;-1,55;-2,77;-1,78;-10,58;-26,68;-8,8;3,38;3,23;-2,4;970,81
0.333;-1,55;-2,77;-1,78;-10,58;-26,68;-8,8;5,29;-0,92;-6,36;970,81
0.334;-1,55;-2,77;-1,78;-4;-7,02;-11,1;5,29;-0,92;-6,36;970,81
0.334;-0,93;-1,29;-1,77;-4;-7,02;-11,1;5,29;-0,92;-6,36;970,81
0.391;-0,93;-1,29;-1,77;-4;-7,02;-11,1;5,66;-6,38;-8,9;970,81
0.392;-0,93;-1,29;-1,77;-4;-7,02;-11,1;5,66;-6,38;-8,9;970,8
0.392;-0,93;-1,29;-1,77;-13,23;3,48;-2,61;5,66;-6,38;-8,9;970,8
0.41;-1,7;-0,51;-0,63;-13,23;3,48;-2,61;5,66;-6,38;-8,9;970,8
0.452;-1,7;-0,51;-0,63;-13,23;3,48;-2,61;-0,53;-5,22;-5,74;970,8
