time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.027;-0,29;0,36;0,95;-0,66;-0,23;0,52;0,11;-0,19;0,05;964,26
0.035;-0,24;0,35;0,92;-0,66;-0,23;0,52;0,11;-0,19;0,05;964,26
0.035;-0,20;0,35;0,94;-0,66;-0,23;0,52;0,11;-0,19;0,05;964,26
0.035;-0,20;0,37;0,98;-0,66;-0,23;0,52;0,11;-0,19;0,05;964,26
0.048;-0,20;0,37;0,98;-0,66;-0,23;0,52;0,14;0,08;-0,01;964,26
0.048;-0,20;0,37;0,98;0,18;-0,25;0,80;0,14;0,08;-0,01;964,26
0.096;-0,22;0,37;0,96;0,18;-0,25;0,80;0,14;0,08;-0,01;964,26
0.098;-0,23;0,37;0,97;0,18;-0,25;0,80;0,14;0,08;-0,01;964,26
0.098;-0,22;0,38;1,00;0,18;-0,25;0,80;0,14;0,08;-0,01;964,26
0.11;-0,22;0,38;1,00;0,18;-0,25;0,80;0,16;0,05;-0,16;964,26
0.11;-0,22;0,38;1,00;-0,00;-0,17;1,07;0,16;0,05;-0,16;964,26
0.128;-0,22;0,38;1,00;-0,00;-0,17;1,07;0,16;0,05;-0,16;964,26
0.156;-0,24;0,37;0,99;-0,00;-0,17;1,07;0,16;0,05;-0,16;964,26
0.156;-0,28;0,35;0,99;-0,00;-0,17;1,07;0,16;0,05;-0,16;964,26
0.156;-0,30;0,33;0,99;-0,00;-0,17;1,07;0,16;0,05;-0,16;964,26
0.168;-0,30;0,33;0,99;-0,00;-0,17;1,07;0,36;0,08;-0,24;964,26
0.168;-0,30;0,33;0,99;-0,70;-0,79;1,06;0,36;0,08;-0,24;964,26
0.216;-0,29;0,31;1,01;-0,70;-0,79;1,06;0,36;0,08;-0,24;964,26
0.216;-0,26;0,31;1,03;-0,70;-0,79;1,06;0,36;0,08;-0,24;964,26
0.217;-0,21;0,30;1,03;-0,70;-0,79;1,06;0,36;0,08;-0,24;964,26
0.228;-0,21;0,30;1,03;-0,70;-0,79;1,06;0,59;0,23;-0,49;964,26
0.228;-0,21;0,30;1,03;0,35;-1,26;1,55;0,59;0,23;-0,49;964,26
0.228;-0,21;0,30;1,03;0,35;-1,26;1,55;0,59;0,23;-0,49;964,28
