time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.01;-0,42;0,69;0,64;0,56;0,02;0,88;-0,09;-0,21;-0,07;946,90
0.03;-0,37;0,69;0,62;0,56;0,02;0,88;-0,09;-0,21;-0,07;946,90
0.03;-0,37;0,69;0,62;0,56;0,02;0,88;-0,10;0,02;-0,05;946,90
0.03;-0,37;0,69;0,62;0,99;0,04;0,64;-0,10;0,02;-0,05;946,90
0.09;-0,42;0,66;0,66;0,99;0,04;0,64;-0,10;0,02;-0,05;946,90
0.09;-0,42;0,66;0,66;0,99;0,04;0,64;-0,03;-0,18;-0,07;946,90
0.09;-0,42;0,66;0,66;0,57;-0,16;0,94;-0,03;-0,18;-0,07;946,90
0.112;-0,42;0,66;0,66;0,57;-0,16;0,94;-0,03;-0,18;-0,07;946,90
0.15;-0,42;0,70;0,67;0,57;-0,16;0,94;-0,03;-0,18;-0,07;946,90
0.15;-0,42;0,70;0,67;0,57;-0,16;0,94;0,03;0,19;0,00;946,90
0.151;-0,42;0,70;0,67;0,48;0,18;1,02;0,03;0,19;0,00;946,90
0.211;-0,36;0,69;0,64;0,48;0,18;1,02;0,03;0,19;0,00;946,90
0.211;-0,36;0,69;0,64;0,48;0,18;1,02;0,07;-0,10;0,00;946,90
0.212;-0,36;0,69;0,64;1,07;0,14;0,77;0,07;-0,10;0,00;946,90
0.212;-0,36;0,69;0,64;1,07;0,14;0,77;0,07;-0,10;0,00;946,89
0.272;-0,38;0,67;0,56;1,07;0,14;0,77;0,07;-0,10;0,00;946,89
0.272;-0,38;0,67;0,56;1,07;0,14;0,77;0,11;0,14;0,02;946,89
0.272;-0,38;0,67;0,56;0,90;-0,14;0,05;0,11;0,14;0,02;946,89
0.31;-0,38;0,67;0,56;0,90;-0,14;0,05;0,11;0,14;0,02;946,89
0.333;-0,42;0,70;0,58;0,90;-0,14;0,05;0,11;0,14;0,02;946,89
0.334;-0,42;0,70;0,58;0,90;-0,14;0,05;0,01;0,32;0,01;946,89
0.334;-0,42;0,70;0,58;0,55;0,15;0,29;0,01;0,32;0,01;946,89
0.391;-0,48;0,66;0,54;0,55;0,15;0,29;0,01;0,32;0,01;946,89
0.392;-0,48;0,66;0,54;0,55;0,15;0,29;-0,12;0,11;0,01;946,89
0.392;-0,48;0,66;0,54;0,02;-0,22;-0,10;-0,12;0,11;0,01;946,89
