time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.004;-0,30;0,80;0,43;-0,47;0,23;-0,71;0,02;0,10;-0,12;0,00
0.011;-0,30;0,80;0,43;-0,30;0,01;-0,71;0,02;0,10;-0,12;0,00
0.011;-0,30;0,80;0,43;-0,24;0,02;-0,68;0,02;0,10;-0,12;0,00
0.061;-0,36;0,76;0,36;-0,24;0,02;-0,68;0,02;0,10;-0,12;0,00
0.078;-0,36;0,76;0,36;-0,24;0,02;-0,68;-0,23;0,14;-0,23;0,00
0.079;-0,36;0,76;0,36;-0,70;-0,01;-1,33;-0,23;0,14;-0,23;0,00
0.119;-0,45;0,70;0,21;-0,70;-0,01;-1,33;-0,23;0,14;-0,23;0,00
0.154;-0,45;0,70;0,21;-1,21;-0,46;-2,24;-0,23;0,14;-0,23;0,00
0.155;-0,45;0,70;0,21;-1,01;-0,36;-2,24;-0,23;0,14;-0,23;0,00
0.157;-0,45;0,70;0,21;-1,01;-0,36;-2,24;-0,40;0,45;-0,33;0,00
0.187;-0,60;0,69;0,11;-1,01;-0,36;-2,24;-0,40;0,45;-0,33;0,00
0.217;-0,60;0,69;0,11;-1,88;-0,70;-4,01;-0,40;0,45;-0,33;0,00
0.218;-0,60;0,69;0,11;-1,64;-0,43;-4,17;-0,40;0,45;-0,33;0,00
0.237;-0,60;0,69;0,11;-1,64;-0,43;-4,17;-1,03;0,45;-0,40;0,00
0.264;-0,98;0,71;0,03;-1,64;-0,43;-4,17;-1,03;0,45;-0,40;0,00
0.277;-0,98;0,71;0,03;-1,64;-0,43;-4,17;-1,51;1,52;0,05;0,00
0.286;-0,98;0,71;0,03;-3,27;0,03;-4,68;-1,51;1,52;0,05;0,00
0.286;-0,98;0,71;0,03;-2,89;0,35;-4,75;-1,51;1,52;0,05;0,00
0.325;-0,90;0,40;0,26;-2,89;0,35;-4,75;-1,51;1,52;0,05;0,00
0.355;-0,90;0,40;0,26;-2,89;0,35;-4,75;-2,67;1,48;0,52;0,00
0.356;-0,90;0,40;0,26;-5,81;0,58;-5,20;-2,67;1,48;0,52;0,00
0.394;-0,34;-0,16;0,26;-5,81;0,58;-5,20;-2,67;1,48;0,52;0,00
0.423;-0,34;-0,16;0,26;-2,10;-3,62;-3,70;-2,67;1,48;0,52;0,00
0.425;-0,34;-0,16;0,26;-1,53;-2,88;-3,75;-2,67;1,48;0,52;0,00
0.433;-0,34;-0,16;0,26;-1,53;-2,88;-3,75;-2,70;2,09;-0,33;0,00
0.463;0,16;-0,82;0,33;-1,53;-2,88;-3,75;-2,70;2,09;-0,33;0,00
0.473;0,16;-0,82;0,33;-1,53;-2,88;-3,75;-3,51;3,19;-2,50;0,00
0.492;0,16;-0,82;0,33;5,62;-7,54;-3,53;-3,51;3,19;-2,50;0,00
0.494;0,16;-0,82;0,33;6,58;-5,88;-2,97;-3,51;3,19;-2,50;0,00
0.531;0,08;-1,71;0,87;6,58;-5,88;-2,97;-3,51;3,19;-2,50;0,00
0.551;0,08;-1,71;0,87;6,58;-5,88;-2,97;-4,21;3,29;-4,86;0,00
0.561;0,08;-1,71;0,87;9,13;-11,30;0,56;-4,21;3,29;-4,86;0,00
0.563;0,08;-1,71;0,87;9,09;-8,77;1,75;-4,21;3,29;-4,86;0,00
0.601;-0,89;-2,05;1,25;9,09;-8,77;1,75;-4,21;3,29;-4,86;0,00
0.631;-0,89;-2,05;1,25;9,09;-8,77;1,75;-2,76;2,78;-5,95;0,00
0.634;-0,89;-2,05;1,25;4,47;-14,07;8,22;-2,76;2,78;-5,95;0,00
