time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.004;-0,42;0,47;0,64;0,26;0,29;-0,41;-0,14;0,20;-0,07;0,00
0.009;-0,42;0,47;0,64;0,26;0,29;-0,41;-0,27;0,04;-0,11;0,00
0.039;-0,42;0,47;0,64;-0,21;0,11;-1,05;-0,27;0,04;-0,11;0,00
0.04;-0,42;0,47;0,64;-0,19;0,22;-1,09;-0,27;0,04;-0,11;0,00
0.069;-0,43;0,37;0,42;-0,19;0,22;-1,09;-0,27;0,04;-0,11;0,00
0.088;-0,43;0,37;0,42;-0,19;0,22;-1,09;-0,49;0,37;-0,28;0,00
0.112;-0,43;0,37;0,42;-0,07;-0,31;-2,43;-0,49;0,37;-0,28;0,00
0.112;-0,43;0,37;0,42;0,12;-0,05;-2,44;-0,49;0,37;-0,28;0,00
0.138;-0,43;0,18;0,42;0,12;-0,05;-2,44;-0,49;0,37;-0,28;0,00
0.168;-0,43;0,18;0,42;0,12;-0,05;-2,44;-1,21;0,29;-0,54;0,00
0.177;-0,43;0,18;0,42;0,01;-1,05;-3,89;-1,21;0,29;-0,54;0,00
0.178;-0,43;0,18;0,42;0,24;-0,45;-3,94;-1,21;0,29;-0,54;0,00
0.207;-0,54;0,06;0,52;0,24;-0,45;-3,94;-1,21;0,29;-0,54;0,00
0.208;-0,54;0,06;0,52;0,24;-0,45;-3,94;-1,86;0,50;-0,76;0,00
0.247;-0,54;0,06;0,52;0,15;-1,30;-3,32;-1,86;0,50;-0,76;0,00
0.276;-0,50;0,07;0,76;0,15;-1,30;-3,32;-1,86;0,50;-0,76;0,00
0.286;-0,50;0,07;0,76;0,15;-1,30;-3,32;-2,39;0,32;-0,68;0,00
0.315;-0,50;0,07;0,76;-0,45;-0,95;-0,72;-2,39;0,32;-0,68;0,00
0.316;-0,50;0,07;0,76;-0,30;-0,07;-0,73;-2,39;0,32;-0,68;0,00
0.344;-0,39;-0,07;0,34;-0,30;-0,07;-0,73;-2,39;0,32;-0,68;0,00
