time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.005;-0,42;0,29;0,90;0,87;0,45;0,71;-0,07;-0,26;0,40;0,00
0.019;-0,42;0,29;0,90;0,87;0,45;0,71;-0,16;-0,03;0,50;0,00
0.039;-0,39;0,30;0,84;0,87;0,45;0,71;-0,16;-0,03;0,50;0,00
0.069;-0,39;0,30;0,84;1,31;0,83;0,44;-0,16;-0,03;0,50;0,00
0.079;-0,39;0,30;0,84;1,31;0,83;0,44;-0,23;0,17;0,46;0,00
0.108;-0,44;0,27;0,80;1,31;0,83;0,44;-0,23;0,17;0,46;0,00
0.139;-0,44;0,27;0,80;0,71;0,43;-0,07;-0,23;0,17;0,46;0,00
0.175;-0,44;0,27;0,80;0,71;0,43;-0,07;-0,27;0,08;0,49;0,00
0.178;-0,37;0,26;0,89;0,71;0,43;-0,07;-0,27;0,08;0,49;0,00
0.209;-0,37;0,26;0,89;1,45;0,39;0,23;-0,27;0,08;0,49;0,00
0.209;-0,37;0,26;0,89;1,42;0,34;0,24;-0,27;0,08;0,49;0,00
0.219;-0,37;0,26;0,89;1,42;0,34;0,24;-0,32;0,16;0,63;0,00
0.249;-0,42;0,25;0,86;1,42;0,34;0,24;-0,32;0,16;0,63;0,00
0.29;-0,42;0,25;0,86;1,42;0,34;0,24;-0,33;0,35;0,63;0,00
0.29;-0,42;0,25;0,86;1,20;0,17;0,77;-0,33;0,35;0,63;0,00
0.318;-0,51;0,26;0,81;1,20;0,17;0,77;-0,33;0,35;0,63;0,00
0.349;-0,51;0,26;0,81;0,57;0,06;0,19;-0,33;0,35;0,63;0,00
0.359;-0,51;0,26;0,81;0,57;0,06;0,19;-0,38;0,46;0,56;0,00
0.392;-0,53;0,22;0,75;0,57;0,06;0,19;-0,38;0,46;0,56;0,00
0.419;-0,53;0,22;0,75;0,57;0,06;0,19;-0,47;0,58;0,43;0,00
0.42;-0,53;0,22;0,75;0,28;0,06;-0,07;-0,47;0,58;0,43;0,00
0.458;-0,54;0,16;0,58;0,28;0,06;-0,07;-0,47;0,58;0,43;0,00
0.478;-0,54;0,16;0,58;0,28;0,06;-0,07;-0,61;1,08;0,19;0,00
0.489;-0,54;0,16;0,58;0,48;-0,13;-0,96;-0,61;1,08;0,19;0,00
0.528;-0,59;-0,06;0,32;0,48;-0,13;-0,96;-0,61;1,08;0,19;0,00
